"region","control","enu","group_diff","p_value","p_adjusted","significant_p_adjusted","GO.ID","p_value.adjust"
"ATP metabolic process",0.111111111111111,0.222222222222222,0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0046034",0.825944017814237
"COPII vesicle coating",0,0,0,NA,NA,NA,"GO:0048208",NA
"DNA conformation change",0.222222222222222,0.111111111111111,-0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0071103",0.825944017814237
"DNA replication",0.111111111111111,0.68554722238248,0.574436111271369,0.104570210318767,0.708518945835672,NA,"GO:0006260",0.708518945835672
"DNA-templated transcription elongation",0,0.287218055635684,0.287218055635684,0.169327297212063,0.708518945835672,NA,"GO:0006354",0.708518945835672
"G0 to G1 transition",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0045023",1
"GPI anchor biosynthetic process",0,0,0,NA,NA,NA,"GO:0006506",NA
"Golgi localization",0,0,0,NA,NA,NA,"GO:0051645",NA
"Golgi organization",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0007030",0.708518945835672
"Golgi to plasma membrane protein transport",0,0,0,NA,NA,NA,"GO:0043001",NA
"Golgi vesicle transport",-0.222222222222222,0.111111111111111,0.333333333333333,0.102470434859749,0.708518945835672,NA,"GO:0048193",0.708518945835672
"P-body assembly",0,0,0,NA,NA,NA,"GO:0033962",NA
"RIG-I signaling pathway",0,0,0,NA,NA,NA,"GO:0039529",NA
"RNA localization",0.222222222222222,0.509440277857907,0.287218055635684,0.310513580564336,0.708518945835672,NA,"GO:0006403",0.708518945835672
"RNA transport",0.111111111111111,0.509440277857907,0.398329166746796,0.128190174345108,0.708518945835672,NA,"GO:0050658",0.708518945835672
"Schwann cell differentiation",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0014037",0.708518945835672
"UV-damage excision repair",0,0,0,NA,NA,NA,"GO:0070914",NA
"Wnt signaling pathway",-0.343678822710165,-0.232567711599054,0.111111111111111,0.88653821037581,0.996793021446661,NA,"GO:0016055",0.996793021446661
"Wnt signaling pathway, planar cell polarity pathway",0.222222222222222,0.111111111111111,-0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0060071",0.825944017814237
"actin filament organization",-0.15722638880876,-0.314452777617521,-0.15722638880876,0.699257390544165,0.875066024430673,NA,"GO:0007015",0.875066024430673
"actin filament severing",0,0,0,NA,NA,NA,"GO:0051014",NA
"actin nucleation",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0045010",0.708518945835672
"activation of GTPase activity",0.333333333333333,0.111111111111111,-0.222222222222222,0.298002226960467,0.708518945835672,NA,"GO:0090630",0.708518945835672
"adherens junction assembly",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0034333",0.708518945835672
"alpha-amino acid biosynthetic process",0,0,0,NA,NA,NA,"GO:1901607",NA
"anoikis",0,0,0,NA,NA,NA,"GO:0043276",NA
"antigen processing and presentation of endogenous peptide antigen via MHC class I",0,0,0,NA,NA,NA,"GO:0019885",NA
"antigen processing and presentation of peptide antigen via MHC class I",0,0,0,NA,NA,NA,"GO:0002474",NA
"apoptotic mitochondrial changes",0,0.222222222222222,0.222222222222222,0.168588771574353,0.708518945835672,NA,"GO:0008637",0.708518945835672
"appendage development",0.480214232765262,0.333333333333333,-0.146880899431929,0.653797222423253,0.862797973853638,NA,"GO:0048736",0.862797973853638
"aromatic compound catabolic process",-0.666666666666667,-0.444444444444444,0.222222222222222,0.383898997513032,0.718694634879048,NA,"GO:0019439",0.718694634879048
"autophagosome maturation",0.222222222222222,0,-0.222222222222222,0.168588771574353,0.708518945835672,NA,"GO:0097352",0.708518945835672
"autophagy of mitochondrion",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0000422",1
"biological process involved in interaction with host",0.509440277857907,0.480214232765262,-0.0292260450926445,1,1,NA,"GO:0051701",1
"body morphogenesis",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0010171",0.708518945835672
"branched-chain amino acid catabolic process",0,0,0,NA,NA,NA,"GO:0009083",NA
"carbohydrate derivative catabolic process",0.287218055635684,0,-0.287218055635684,0.169327297212063,0.708518945835672,NA,"GO:1901136",0.708518945835672
"cardiac chamber development",0.444444444444444,0.639431944684831,0.194987500240387,0.613638275978843,0.851687607177532,NA,"GO:0003205",0.851687607177532
"cell communication by electrical coupling involved in cardiac conduction",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0086064",0.708518945835672
"cell cycle G1/S phase transition",0.111111111111111,0.333333333333333,0.222222222222222,0.653797222423253,0.862797973853638,NA,"GO:0044843",0.862797973853638
"cell cycle G2/M phase transition",0.287218055635684,0.620551388969018,0.333333333333333,0.241372870131196,0.708518945835672,NA,"GO:0044839",0.708518945835672
"cell cycle checkpoint signaling",0.111111111111111,0.222222222222222,0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0000075",0.825944017814237
"cell growth",-0.15139667548719,0.148872222542736,0.300268898029926,0.236964159757242,0.708518945835672,NA,"GO:0016049",0.708518945835672
"cell redox homeostasis",0,0,0,NA,NA,NA,"GO:0045454",NA
"cell-cell signaling by wnt",-0.343678822710165,-0.232567711599054,0.111111111111111,0.88653821037581,0.996793021446661,NA,"GO:0198738",0.996793021446661
"cell-substrate adhesion",-0.0272347219818369,-0.222222222222222,-0.194987500240385,0.579314214182942,0.825944017814237,NA,"GO:0031589",0.825944017814237
"cell-substrate junction assembly",0.333333333333333,0.444444444444444,0.111111111111111,0.676193125728972,0.864024549542576,NA,"GO:0007044",0.864024549542576
"cell-substrate junction organization",0.333333333333333,0.444444444444444,0.111111111111111,0.676193125728972,0.864024549542576,NA,"GO:0150115",0.864024549542576
"cellular carbohydrate metabolic process",0.176106944524573,0.656321177289836,0.480214232765262,0.246498459541589,0.708518945835672,NA,"GO:0044262",0.708518945835672
"cellular component disassembly",-0.297563545012516,-0.379448611030983,-0.0818850660184671,0.847204598694742,0.983884431803879,NA,"GO:0022411",0.983884431803879
"cellular metabolic compound salvage",0,0,0,NA,NA,NA,"GO:0043094",NA
"cellular modified amino acid biosynthetic process",0,0,0,NA,NA,NA,"GO:0042398",NA
"cellular nitrogen compound catabolic process",-0.666666666666667,-0.555555555555556,0.111111111111111,0.676193125728972,0.864024549542576,NA,"GO:0044270",0.864024549542576
"cellular pigmentation",0.287218055635684,0.333333333333333,0.0461152776976488,0.778159686176166,0.934953055778826,NA,"GO:0033059",0.934953055778826
"cellular respiration",0.111111111111111,0.287218055635684,0.176106944524573,0.54029137460742,0.825944017814237,NA,"GO:0045333",0.825944017814237
"cellular response to UV",0.222222222222222,0,-0.222222222222222,0.168588771574353,0.708518945835672,NA,"GO:0034644",0.708518945835672
"cellular response to acid chemical",0.111111111111111,0.287218055635684,0.176106944524573,0.54029137460742,0.825944017814237,NA,"GO:0071229",0.825944017814237
"cellular response to amino acid starvation",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0034198",0.708518945835672
"cellular response to arsenic-containing substance",0,0,0,NA,NA,NA,"GO:0071243",NA
"cellular response to chemical stress",-0.15722638880876,-0.268337499919872,-0.111111111111111,0.777932411659849,0.934953055778826,NA,"GO:0062197",0.934953055778826
"cellular response to dsRNA",0,0,0,NA,NA,NA,"GO:0071359",NA
"cellular response to environmental stimulus",0.463325000160257,-0.15722638880876,-0.620551388969017,0.129513679678773,0.708518945835672,NA,"GO:0104004",0.708518945835672
"cellular response to epidermal growth factor stimulus",0,0,0,NA,NA,NA,"GO:0071364",NA
"cellular response to external stimulus",0.222222222222222,-0.111111111111111,-0.333333333333333,0.398354857302713,0.728808318474283,NA,"GO:0071496",0.728808318474283
"cellular response to extracellular stimulus",0.444444444444444,0.111111111111111,-0.333333333333333,0.139567966606801,0.708518945835672,NA,"GO:0031668",0.708518945835672
"cellular response to heat",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0034605",1
"cellular response to insulin stimulus",0.509440277857907,0.222222222222222,-0.287218055635684,0.310513580564336,0.708518945835672,NA,"GO:0032869",0.708518945835672
"cellular response to ketone",0,0.352213889049147,0.352213889049147,0.168588771574353,0.708518945835672,NA,"GO:1901655",0.708518945835672
"cellular response to leukemia inhibitory factor",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:1990830",0.708518945835672
"cellular response to oxygen levels",0.111111111111111,0.444444444444444,0.333333333333333,0.139567966606801,0.708518945835672,NA,"GO:0071453",0.708518945835672
"cellular response to topologically incorrect protein",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0035967",1
"cellular senescence",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0090398",0.708518945835672
"centrosome localization",0,0,0,NA,NA,NA,"GO:0051642",NA
"ceramide biosynthetic process",0.111111111111111,0.398329166746796,0.287218055635684,0.496769482661183,0.825944017814237,NA,"GO:0046513",0.825944017814237
"cerebellum development",0.222222222222222,0.111111111111111,-0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0021549",0.825944017814237
"cerebral cortex development",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0021987",0.708518945835672
"chaperone-mediated autophagy",0,0,0,NA,NA,NA,"GO:0061684",NA
"chondrocyte differentiation",0.333333333333333,0.222222222222222,-0.111111111111111,0.951472249222705,1,NA,"GO:0002062",1
"chromatin remodeling",-0.444444444444444,0.333333333333333,0.777777777777778,0.0436363515328802,0.708518945835672,NA,"GO:0006338",0.708518945835672
"chromosome localization",0.287218055635684,0.111111111111111,-0.176106944524573,0.54029137460742,0.825944017814237,NA,"GO:0050000",0.825944017814237
"chromosome segregation",-0.601670833253205,-0.333333333333333,0.268337499919872,0.427791831971648,0.76954731784844,NA,"GO:0007059",0.76954731784844
"cilium assembly",-0.444444444444444,0.111111111111111,0.555555555555556,0.0666911816809744,0.708518945835672,NA,"GO:0060271",0.708518945835672
"cilium organization",-0.333333333333333,0,0.333333333333333,0.33414038289231,0.708518945835672,NA,"GO:0044782",0.708518945835672
"circadian regulation of gene expression",0.111111111111111,0.333333333333333,0.222222222222222,0.298002226960467,0.708518945835672,NA,"GO:0032922",0.708518945835672
"clathrin-dependent endocytosis",0.176106944524573,0.222222222222222,0.0461152776976489,0.683091398309609,0.865966260849189,NA,"GO:0072583",0.865966260849189
"connective tissue development",0.222222222222222,0,-0.222222222222222,0.522345715698246,0.825944017814237,NA,"GO:0061448",0.825944017814237
"cortical cytoskeleton organization",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0030865",0.708518945835672
"cytoplasmic translation",0.287218055635684,0.176106944524573,-0.111111111111111,0.633868022145426,0.862797973853638,NA,"GO:0002181",0.862797973853638
"cytoskeleton-dependent cytokinesis",0.176106944524573,0.111111111111111,-0.0649958334134622,1,1,NA,"GO:0061640",1
"dephosphorylation",-0.490559722142094,0.222222222222222,0.712781944364316,0.0270901326220438,0.708518945835672,NA,"GO:0016311",0.708518945835672
"developmental cell growth",0.287218055635684,0.398329166746796,0.111111111111112,0.921797953781934,1,NA,"GO:0048588",1
"developmental growth involved in morphogenesis",0.666666666666667,0.463325000160258,-0.203341666506409,0.555598947805164,0.825944017814237,NA,"GO:0060560",0.825944017814237
"dicarboxylic acid metabolic process",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0043648",1
"diol biosynthetic process",0,0,0,NA,NA,NA,"GO:0034312",NA
"double-strand break repair",0.444444444444444,0.509440277857907,0.0649958334134623,0.880168454906725,0.996793021446661,NA,"GO:0006302",0.996793021446661
"endoplasmic reticulum calcium ion homeostasis",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0032469",0.708518945835672
"epigenetic regulation of gene expression",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0040029",0.708518945835672
"establishment of epithelial cell apical/basal polarity",0,0,0,NA,NA,NA,"GO:0045198",NA
"establishment of mitotic spindle localization",0,0,0,NA,NA,NA,"GO:0040001",NA
"establishment of organelle localization",-0.490559722142094,-0.425563888728632,0.0649958334134618,0.839952091839811,0.983884431803879,NA,"GO:0051656",0.983884431803879
"establishment of protein localization to organelle",-0.15722638880876,-0.444444444444444,-0.287218055635684,0.379675343723779,0.714944214497409,NA,"GO:0072594",0.714944214497409
"establishment of tissue polarity",0.222222222222222,0.111111111111111,-0.111111111111111,0.584829925657286,0.825944017814237,NA,"GO:0007164",0.825944017814237
"establishment or maintenance of cell polarity",-0.222222222222222,0.509440277857907,0.731662500080129,0.0175392648217567,0.708518945835672,NA,"GO:0007163",0.708518945835672
"establishment or maintenance of epithelial cell apical/basal polarity",0,0,0,NA,NA,NA,"GO:0045197",NA
"execution phase of apoptosis",0,0.111111111111111,0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0097194",0.708518945835672
"exit from host cell",0.176106944524573,0,-0.176106944524573,0.374062797490883,0.708518945835672,NA,"GO:0035891",0.708518945835672
"face development",0.111111111111111,0,-0.111111111111111,0.374062797490883,0.708518945835672,NA,"GO:0060324",0.708518945835672
"fat cell differentiation",0.398329166746796,0.666666666666667,0.268337499919871,0.336435078561986,0.708518945835672,NA,"GO:0045444",0.708518945835672
"fatty acid beta-oxidation",0.111111111111111,0.111111111111111,0,1,1,NA,"GO:0006635",1
"fibroblast apoptotic process",0,0,0,NA,NA,NA,"GO:0044346",NA
"fibroblast migration",0.222222222222222,0,-0.222222222222222,0.374062797490883,0.708518945835672,NA,"GO:0010761",0.708518945835672
"fibroblast proliferation",0,0.222222222222222,0.222222222222222,0.168588771574353,0.708518945835672,NA,"GO:0048144",0.708518945835672
