"","condition","cycle","region","p_value","p_adjusted","significant_p_adjusted"
"1","control",1,"expressed",0.0167079011299947,0.0334158022599895,"*"
"2","control",1,"nonexpressed",0.84149917789401,0.84149917789401,NA
"3","control",9,"expressed",5.5435047824313e-09,1.10870095648626e-08,"****"
"4","control",9,"nonexpressed",0.484860007475142,0.484860007475142,NA
"5","enu",3,"expressed",2.61236733123251e-05,5.22473466246502e-05,"****"
"6","enu",3,"nonexpressed",0.868503862470541,0.868503862470541,NA
"7","enu",6,"expressed",6.39564500979762e-07,1.27912900195952e-06,"****"
"8","enu",6,"nonexpressed",0.302116459865757,0.302116459865757,NA
"9","enu",9,"expressed",1.15492200284228e-12,2.30984400568456e-12,"****"
"10","enu",9,"nonexpressed",0.87506870408354,0.87506870408354,NA
