"region","condition.x","average_log2fc","median.obs.mut","group","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust","sequence_length"
"Wnt signaling pathway","enu",-0.346063063029368,15.5,"observed","enu",0,"****","GO:0016055","51384/23072/1856/3675/54972/54623/1951/5310/80199/54903/57658/440193/25937/6591/54764/25960/55789/8452/27122/5218/65125/10076/1001/7089/259266/2263/387/55593/57560/55737/4040/2255/1459/998/2011/23291/54475/10979/9620/2239/79960/1906/5663/6932/2932/1540/51701/9209/25805/25/6663/25776/10042/9978/23002/5494/51527/57680/4776/6789/23394/54994/1457/55612/6907/331/2010/64840/2254/8312/7249/6299/7976/6422/6788/8840/51366/79816/166/898/51588/7040/57664/5518/2116/2931/26959/857/7472/2887/2737/9275/10927/7091/23189/1855/84445/6468/80351/22943/219771/7473/1277/64750/9368/90410/4790/1363/8532/595/4192/65981/2735/81029/1432/6206/8724/4188/5754/9037/5515/1452/51185/84100/27031/51421/3836/7474/10297/3485/9736/6801/6382/25806/607/4139/3065/10459/79971/252839/4811/59349/23184/6794/7128/81847/5311/7320/27130/1958/23240/8434/80114/5204/4035/79809/4693/6659/6662/650/83786/5300/23499/6597/348/54795/9113/4772/261734/5562/84327/1455/406/8932/7482/79577/4038/51444/337867/324/29969/22881/55681/1910/5879/9314/153090/23213/10413/23168/5495/9101/2247/51176/1950/144165/55716/7090/80349/7041/85407/1453/3487/63977/351/128272/1952/7483/9580/9686/5868/27303/8994/6423/85409/10146/23500/7162/1956/2719/340419/4851/6934/26524/85458/2308/1456/5800/1909/83439/3087/1601/4929/90268/79705/23043/147495/65062/8324/2776/7074/8321/64897/6497/57822/1896/57805/267/1857/4041/8613/5563/84328/374946/57216/27185/2487/151195/7855/57326/90780/166336/6259/28999/59343/8323/115908/91147/65268/7415/51339/57447/10023/154810/29117/8945/3611/123169/26585/4088/51704/1613/64359/3489/92162/54949/1642/1499/3516/8313/80319/4920/53944/284654/9839/5881/1501/55031/1000/26108/4163/4300/5728/5499/5916/81839/8658/3728/57674/8322/1649/8607/23399/2300/8325/3090/10009/79718/152573/56998/2262/85474/2535/169200/387914/23401/6657/6478/2131/10159/25987/10082/10856/84133/9241/83999/80139/9968/139285/5071/4919/527/51741/283149/129293/4286/130574/55182/9863/130612/8326/120892/9679/6477/55959/7088/6714/147906/2870/1500/8861/9646/57154/164284/115701/2869/1460/10399/55366/100113407/147699/1454/30851/1654/8629/2297",376,0,7179504
"actin filament organization","enu",-0.492009256194312,14.5,"observed","enu",0.00250541642855153,"**","GO:0007015","55971/10344/85477/8522/22902/6050/9168/8452/822/395/2006/7984/51474/9564/55761/26999/10787/63916/22998/1496/10565/387/6093/5217/57704/998/8440/9948/87/10979/23332/55160/119/6624/1739/5063/88/832/10529/10411/55604/3693/2195/54434/2017/118/57091/55616/79822/5829/6548/64857/7430/10580/3717/25/8829/387680/9647/23616/11078/9463/10278/5358/28984/11151/79767/23406/29108/10391/7082/6422/9639/23370/79816/5296/136319/4233/23242/8976/29999/3984/7046/23189/7016/9124/6387/5216/84687/7126/57482/23603/59341/10094/4739/221692/8936/6722/9037/1809/1627/10096/6711/55704/7456/5341/7840/829/9181/10459/5999/3925/11133/7139/1490/9270/54942/7043/5357/51019/10174/5290/644150/800/11113/57580/6385/29993/7408/8195/11034/3397/83543/7429/3092/5880/4430/55930/84952/29767/54857/51429/10095/9535/9026/9113/1729/8500/85415/23647/51763/84327/10810/23075/9645/56907/9475/80206/10677/64780/29109/23325/50853/3936/5879/80774/57471/274/10006/7111/81873/85462/9873/408/5962/51332/10097/10152/29766/55435/57619/283431/54509/81624/8477/9051/7168/585/55114/85464/4542/83872/7170/10456/58/375/23671/339768/90102/9353/5295/10788/5921/23500/93663/2041/357/30011/1730/55909/203228/2934/22921/221061/120/5058/90952/10435/226/5756/2241/2059/9050/133746/130271/51571/55740/389/7273/56776/133522/90550/123720/9530/4643/673/4690/114822/11013/10163/57477/286527/55607/50848/70/146206/7791/2909/84221/57731/50944/126820/10092/129446/29765/9938/56203/25802/10109/23122/5584/5580/27236/2150/253260/134549/10395/79778/9897/94134/1073/3636/382/123016/7248/79933/7184/4640/4088/201191/4645/7171/84940/148170/64223/165904/5881/9788/1901/5581/5734/596/11346/171024/27289/253725/57175/1072/54961/29984/6712/8557/253980/65108/22843/10458/4642/391/5074/2314/2885/5339/100533183/144347/91663/3059/5062/100287171/359845/55243/71/10634/5071/4771/116985/90668/256949/83715/57698/51466/4646/961/2316/2764/6714/6840/4644/6709/6281/81553/4641/89848/23607/1902/7169/51734/2475/830/64423/199/5987/84501/7114/2013/79729/283/57026/10093/10552/348110/57553/11344/342184/85358/55845/79585",366,0.0332860495152703,6790815
"aromatic compound catabolic process","enu",-0.358902023382666,14,"observed","enu",0,"****","GO:0019439","22875/23098/5976/60528/7812/1774/23034/6050/51071/1244/1890/7431/8635/7133/55596/54888/23644/23517/51154/9967/23369/54542/10758/8531/30/4913/4904/5141/1994/6093/23293/26986/5151/10644/38/23016/10179/4292/7374/22978/56915/57690/26002/4850/7188/79670/22894/581/4849/8570/22803/2521/645/57060/8761/27327/54890/3183/26523/1312/51816/11332/1153/27443/9567/3162/164668/23112/2954/23405/79882/328/25939/1869/215/2332/81602/23417/4363/2935/3163/2184/10940/3646/10535/259307/59284/1777/5143/54555/2931/56006/5445/56829/4521/23658/644/51010/1787/23185/55149/22794/1655/8882/28960/55110/4848/1432/221662/10846/10591/55603/83594/11044/57472/5144/4968/54464/8087/22916/8942/9887/5511/22868/9615/81892/55051/11340/2107/317/2053/23435/64282/51538/170685/79002/23583/5393/27161/79072/23019/65109/30833/3704/192669/7389/55795/7186/79066/7538/200316/1854/8930/9513/51690/25804/23404/23211/1736/3620/4245/79727/2926/10247/55544/272/9811/9475/84893/9698/192670/23318/9704/10492/4907/79899/9924/6041/1660/149041/79621/8803/55270/10643/3569/9238/91875/10588/4686/56267/87178/10128/953/80312/1763/6741/79675/3184/8654/246175/6996/79661/5073/79068/283927/10140/9775/115024/207/26135/2052/51542/5433/129563/9125/57721/92345/10957/1807/84186/57109/85456/10658/472/51092/54915/114609/3176/25819/196513/26019/5860/51594/678/255967/53918/23589/3192/5578/252969/146857/4343/23367/9337/6832/9131/9941/23049/7498/115572/55571/124245/978/10642/7832/1676/5152/162989/4116/23498/9261/8802/54502/80149/5580/80335/11157/167153/10922/51808/7415/11164/3251/56339/25961/219988/115752/2021/55181/5436/2237/2668/8313/54790/161823/65110/3094/1677/6419/84305/53343/883/51013/27115/5053/5394/246243/55106/3669/10605/8801/27254/10924/80198/167227/84153/4615/11163/1267/90806/201626/170506/27257/440672/10949/2081/22882/54512/55095/80153/9582/79077/284071/4869/399664/8241/25904/125061/54855/7378/668/11187/5142/56478/3297/677/253943/200035/957/84069/200424/79048/389421/340719/1806/377841/4128/55629/23708/55190/100/27044/9583/128486/1735/3182/955/5167/57089/51441/131870/9652/29883/4860/23381/26058/550643/1797/6499/3304/3303/57819/5150/56953/10921/131405/1734/445329/11277/1773/2592/390916/283/23053/60493/118460/440823/197135/60674/60489/57026/140564/27350/6818/10984/11165",396,0,5245233
"cellular nitrogen compound catabolic process","enu",-0.333421184697667,13.5,"observed","enu",0,"****","GO:0044270","22875/23098/5976/60528/7812/1774/23034/6050/51071/1244/1890/7431/8635/7133/55596/54888/23644/23517/51154/9967/23369/54542/10758/8531/4913/4904/5141/1994/6093/23293/26986/5151/10644/38/23016/10179/4292/7374/22978/56915/57690/4850/7188/79670/22894/581/4849/8570/22803/2521/645/57060/8761/27327/54890/3183/26523/51816/11332/1153/27443/9567/3162/164668/23112/23405/79882/328/25939/1869/215/2332/81602/23417/4363/2935/3163/23475/10940/3646/10535/259307/59284/1777/5143/54555/2931/56006/56829/4521/23658/644/51010/1787/23185/55149/22794/1655/8882/28960/55110/4848/1432/221662/10846/10591/55603/83594/11044/57472/5144/4968/54464/8087/22916/8942/9887/5511/22868/9615/81892/4329/55051/11340/2107/317/23435/64282/51538/170685/79002/23583/5393/27161/79072/23019/65109/30833/3704/192669/7389/55795/7186/79066/5447/7538/4357/7263/200316/1854/8930/9513/51690/25804/23404/23211/1736/3620/4245/79727/2926/10247/55544/272/9811/9475/84893/9698/192670/23318/9704/10492/4907/79899/9924/6041/1660/149041/79621/8803/55270/10643/3569/9238/91875/10588/4686/87178/10128/953/80312/1763/6741/79675/3184/8654/246175/6996/79661/5073/79068/283927/10140/9775/115024/207/26135/51542/5433/129563/9125/57721/92345/635/10957/1807/84186/57109/85456/10658/472/51092/54915/114609/3176/25819/196513/26019/51594/678/255967/53918/23589/3192/5578/252969/146857/4343/23367/9337/6832/9131/9941/23049/7498/115572/55571/124245/978/10642/7832/1676/5152/162989/4116/23498/9261/8802/54502/80149/5580/80335/11157/167153/10922/51808/7415/11164/3251/56339/25961/219988/115752/2021/55181/5436/2237/2668/8313/54790/161823/65110/3094/1677/6419/84305/53343/51013/27115/5394/246243/55106/3669/10605/8801/27254/10924/80198/167227/84153/4615/11163/1267/90806/201626/170506/27257/440672/10949/2081/22882/54512/55095/80153/9582/79077/284071/4869/399664/8241/25904/125061/54855/7378/668/11187/5142/56478/3297/677/253943/200035/957/84069/200424/79048/389421/340719/1806/377841/55629/23708/55190/100/27044/9583/128486/3182/955/5167/57089/51441/131870/9652/29883/4860/23381/26058/550643/1797/6499/3304/3303/57819/5150/56953/10921/131405/11277/1773/2592/390916/283/23053/60493/118460/440823/197135/60674/60489/57026/140564/27350/10984/11165",385,0,5119862
"cilium organization","enu",-0.42119720218034,10.5,"observed","enu",0,"****","GO:0044782","51364/84058/57787/6792/11188/80199/54903/30845/23386/25937/30846/8100/1767/8481/4134/57545/10198/55761/10806/23224/2665/9474/9696/57560/10640/29105/80216/1183/22920/25930/5108/8556/1785/11158/5991/8555/51668/2932/10464/1540/29887/6790/5990/8655/10013/80173/3983/9342/50487/25776/25809/11020/79734/8814/51382/9786/51098/9371/22919/6102/29070/23059/23322/9738/30844/6674/147700/93233/79846/79989/95681/7016/8729/27077/9368/90410/79864/10938/22897/57562/23329/345895/4739/22858/51715/79770/84100/27031/80321/55081/84223/25981/10096/55704/49856/6738/117178/56912/84071/5311/57539/56171/7320/89891/80127/112752/83544/26123/55717/159686/92344/84902/4952/57489/27241/989/27019/28981/79809/80776/164781/84080/64284/583/10257/23157/64518/8195/11190/55112/117177/64792/146057/90416/23639/5819/25814/3911/11127/54558/79363/123811/22873/22832/167691/10677/54806/9857/80210/4957/79969/85462/4750/10413/54874/26160/51626/10097/403/317662/55329/55212/144165/282809/84260/585/2622/55036/1453/22994/91978/115704/10733/1952/51057/79582/64422/170690/51256/107080638/221322/55262/84131/2934/4851/54970/51524/196383/132320/55835/79925/79819/146279/50807/136332/65062/158297/118491/145483/6103/93594/221481/54768/57728/138639/254050/199221/54935/56683/9114/2909/79140/755/5116/138162/221908/197335/126820/57216/27185/3754/129880/27148/55764/27152/25886/154865/54919/91147/55582/55172/123016/10807/146562/7275/23300/388389/4218/83547/26005/199223/125488/378/4735/79867/153241/55130/200894/202018/116840/84140/54777/143941/221421/257236/160762/22885/9657/51134/9001/84984/582/9662/26259/254187/84747/8636/284001/25914/283232/79874/63917/84314/144132/79738/285331/166379/90355/79598/3985/10801/8558/347240/200728/51259/79659/9742/353116/137392/401024/85302/27341/150737/2316/3064/92104/65250/55742/115948/219844/80184/23116/9851/26146/83538/1639/79600/79583/1874/55779/255758/26140/92482/90120/116143/161582",316,0,4300721
"hematopoietic progenitor cell differentiation","enu",-0.712299637354723,3,"observed","enu",0.00350282422537182,"**","GO:0002244","54443/23376/4254/2296/5610/2009/57623/8692/10272/5134/83737/7520/5663/5978/54517/23335/25/9739/6655/6547/84138/64428/6422/2068/7040/93436/23094/1021/5803/10467/10019/5777/11149/9841/6722/3313/3280/6654/5341/1386/4780/23215/3213/3624/6659/652/5469/6939/55795/51119/22890/7538/3791/7153/5914/8546/91298/5977/10468/5156/55008/55716/7157/641649/57721/4851/79819/201163/55326/23648/3815/673/1636/126549/103/51205/54502/167153/10370/56339/83700/11051/1938/25942/26108/157570/596/4300/6670/10524/1106/3981/170506/4291/23212/2624/147808/55526/2131/3214/51441/11277/96459/1052/10443/5591/4067",107,0.0405478440633951,1815474
"histone modification","enu",-0.526209132074359,12,"observed","enu",0.0015741305275554,"**","GO:0016570","4800/23028/10943/1387/80853/54623/3720/84954/9862/9031/26993/54799/672/23376/6591/23304/51230/5926/26009/259282/23338/9734/5888/51742/57602/58508/54969/9474/57504/93166/56848/6873/2139/9682/4802/79091/9759/22933/23210/54556/53615/6720/5927/1207/8726/60/9733/11176/79960/7319/8028/55183/10847/54665/7994/10269/8648/2122/10075/56970/51720/6790/84678/78990/23186/10013/51322/27154/23411/3717/54620/9739/6598/2033/23774/83933/10419/79609/22938/7443/9252/84312/55257/6907/6839/5931/9767/55578/3299/65990/84148/9810/51366/55011/84444/10270/6795/2091/25865/29086/54531/6878/2146/23081/4591/2648/2145/10014/7468/10891/51111/79829/11108/1108/51147/64426/29915/1911/9025/5252/7422/10902/604/8850/55683/84759/23451/55818/150572/1386/26038/11315/79084/3065/55870/6421/7799/6018/10765/5929/1810/55758/4297/196483/7320/6418/26147/9913/284058/56943/80314/6883/51780/4801/6045/80218/79903/7291/5585/1017/25895/9643/8202/23326/55809/3007/7913/9329/8242/3276/8089/23309/23030/3976/51200/8520/51105/10038/9070/6874/23378/8864/5562/10514/23558/23135/54496/84787/84332/4221/8932/79577/1643/9575/6885/10322/9958/27097/26122/83852/11143/86/1025/408/23168/2959/580/11107/51176/675/54934/23067/122953/80349/9960/84656/93649/7157/57332/4089/23410/10498/63976/29943/22823/27005/9869/56950/57459/151194/64332/9730/6622/817/80854/91272/7403/55869/6872/8473/54904/54107/28989/6877/57325/9219/1111/221143/134145/51562/26040/117143/79723/8467/9320/5578/201163/30827/79831/56254/91748/29104/10600/84108/23522/7862/22976/1859/9577/2140/8450/26053/2005/65018/94104/1487/8888/3275/26097/200186/4000/29115/10629/8986/5563/5928/114803/84661/56916/6944/55677/84142/57326/90780/79885/6314/151636/55689/64769/8314/165918/80335/25836/25862/1020/221656/64324/9188/322/6881/123169/5579/4837/5245/3481/54815/8085/55611/283248/1642/1499/55209/648/3008/84289/55806/3622/4204/25942/83443/1107/7324/983/6419/143241/84864/10474/171023/84525/8841/170394/221037/55352/3054/4615/23133/10524/93624/51504/22992/55167/25855/8607/112869/4524/79718/83903/7334/55929/57673/23512/6879/9212/5187/2624/84333/124512/79813/29072/9112/10856/54880/57634/84193/387893/5587/3009/80764/7469/64754/79184/10336/10933/54093/4674/51547/7874/10445/3006/339287/120892/26155/23450/8464/11091/8295/3066/10865/54554/5253/63925/57708/23054/221477/8861/9646/55170/7052/399818/6015/7936/10919/10626/2074/8505/10432/158880/9757",418,0.0250549108969235,5656678
"maintenance of protein location","enu",-0.716907034059869,1.5,"observed","enu",0.000765502571244582,"***","GO:0045185","85477/5310/920/9168/3309/55187/4052/6672/6717/9817/11015/25777/706/5905/4792/5716/28952/23568/4793/10945/2901/857/51684/4188/64083/6500/1627/55704/11315/81573/5311/9913/5552/51141/54832/23345/9113/22873/10956/11014/7295/129685/6653/580/9908/2201/585/5371/207/4794/2934/25792/288/5756/3192/3098/11079/11013/286527/100532736/4681/65018/23515/3099/23353/1020/83860/2200/7529/11124/3638/2316/10210/8733/23230/7114/402/51608/11344/400916",80,0.0132919082825196,1338775
"methylation","enu",-0.748225459300082,6,"observed","enu",0.00115383725242643,"**","GO:0032259","4800/55471/23028/55904/54623/51603/672/56981/51230/51106/5926/54888/4234/259282/51742/58508/639/6894/93166/4802/60487/79091/24140/114049/53615/3028/54456/1207/11176/8468/8028/55183/79977/546/2122/27292/339175/1789/51605/1312/23411/9739/4507/27037/6598/6634/9463/10419/79609/22938/63935/79133/64863/8731/6839/10664/79918/65990/2935/84148/55011/84444/55621/2091/9545/79872/2146/1787/117246/2145/7468/51111/11108/84274/4839/29915/5252/51409/55683/150572/63892/23463/26038/79084/55870/7799/4548/6018/5929/387338/51611/4297/196483/26147/1788/25940/3070/284058/5110/2107/4801/81627/54482/29960/23091/25895/79828/4552/3007/27232/6633/6628/3276/10436/57570/84190/79066/9070/2593/84705/55695/10155/1786/23378/51805/54496/23743/10400/84787/694/84332/4221/8932/25917/143689/90853/25821/10322/83852/51531/4609/23070/7172/96764/91801/23168/80745/80204/29081/11107/254013/6636/54934/23067/80349/4089/5409/63977/10498/63976/22823/51093/9869/56950/142/79823/6637/151194/64332/9718/93587/57721/80854/635/91272/9589/79624/56257/7403/8473/54904/28989/9219/221143/3176/134145/26040/79723/56978/8467/30827/152992/56254/138199/29104/22976/26053/54069/94104/7832/10785/3275/26097/4000/127253/113802/64783/64216/84661/55677/90780/80335/90826/154743/25962/55798/221656/158234/118881/64324/64745/56339/115708/4837/6632/54815/8085/1499/55209/29063/648/3008/115294/9836/4204/8623/196074/83640/56980/2353/6419/4255/143241/8493/55006/283742/55729/92342/55178/55352/3054/4615/51504/54931/51574/5870/7298/4524/55929/55152/11180/57673/23512/63899/79730/201164/55783/124512/79813/29072/6635/54880/84193/55039/387893/3009/7469/10196/64754/25840/54093/85002/114826/144233/359787/200424/10445/3006/79979/54737/11091/54554/51108/63925/23054/9646/55170/51490/399818/55251/57683/7936/10919/51451/131965/57412/751071/155400/221078/11185/57604/91893/9757",313,0.0191637317576911,3729053
"negative regulation of catabolic process","enu",-0.488181275881291,7.5,"observed","enu",0,"****","GO:0009895","1595/26073/23077/54972/7812/3077/2534/3082/11345/7077/54888/23274/79142/9967/23118/57602/10758/493/8531/11178/28996/5476/4904/1994/9682/6093/9759/22933/55737/5774/26986/1459/10644/32/51548/57103/4983/5663/7188/8898/2521/11213/23256/3183/51322/3326/1153/84861/7078/3162/706/1457/1869/128866/1471/9097/55613/2332/7076/9683/7249/8140/8925/90427/55353/66036/6625/6449/29997/54922/2931/5294/4233/57589/9827/1787/51684/23185/28964/80279/1982/1432/221662/2822/8724/55603/11044/1611/3156/1981/79031/8604/5768/11315/10459/3953/51377/81892/55051/23435/64282/51538/5290/6125/10755/8239/3553/9349/9491/8678/5582/7186/5300/79066/7538/4248/51105/84074/341/1736/5562/57533/55544/7428/9704/84749/10492/116986/1660/5270/10643/64844/153090/8870/6386/6653/51374/10128/9101/3184/254013/5371/5045/64784/5073/9611/10140/4864/7157/57521/3607/4089/207/6135/113451/4170/9711/6622/92345/1956/11011/6872/8473/29934/8667/210/9638/114609/25819/51594/5140/3192/55625/201163/51582/29761/23367/56776/10670/7079/257397/115572/9191/65018/57805/10642/23400/1676/56893/51035/9261/134/23429/54502/4085/167153/819/51808/221937/7248/9529/4088/4130/5245/2801/83547/64223/26580/55872/54541/84879/6774/2668/8313/65110/1677/9637/4534/596/6201/10605/143941/54971/80011/4615/5970/6599/90806/170506/26471/55254/140775/10949/11180/284071/1728/100287171/10193/302/8241/54855/11187/56478/340371/5465/7874/79048/120892/23450/80317/2316/3182/258010/65992/6815/4194/2475/9860/6048/10919/7917/56658/440503/80772/89/29082",266,0,4026712
