"region","condition.x","average_log2fc","group","condition.y","pvalue","pvalue_symbol","GO.ID","pvalue.adjust","average_log2fc_shuffle_norm"
"ATP metabolic process","enu",-0.311959036669415,"observed","enu",0.31606929599955,NA,"GO:0046034",0.600688910805114,-0.329358604830725
"COPII vesicle coating","enu",0.215413541726763,"observed","enu",0.978157672091773,NA,"GO:0048208",0.999999999996455,-0.136452493384607
"DNA conformation change","enu",-0.289494265694367,"observed","enu",0.745107681759587,NA,"GO:0071103",0.999548687248661,0.270561716541095
"DNA replication","enu",-0.615068481995077,"observed","enu",0.0120549057767636,"*","GO:0006260",0.0938338557949035,-0.382729850041007
"DNA-templated transcription elongation","enu",-0.105977659622251,"observed","enu",0.939088587928282,NA,"GO:0006354",0.999999999996455,0.370922967975212
"G0 to G1 transition","enu",-0.174961306129243,"observed","enu",0.986074207898861,NA,"GO:0045023",0.999999999996455,-0.0160537564951993
"GPI anchor biosynthetic process","enu",0.215413541726763,"observed","enu",0.308006771190302,NA,"GO:0006506",0.591336471560081,0.500000000000001
"Golgi localization","enu",0.333333333333334,"observed","enu",0.78293500317604,NA,"GO:0051645",0.999999999996455,0.5
"Golgi organization","enu",-0.329798853730815,"observed","enu",0.658514627569785,NA,"GO:0007030",0.933422089126436,0.428545868876306
"Golgi to plasma membrane protein transport","enu",-0.01416041678686,"observed","enu",0.396330145573336,NA,"GO:0043001",0.704177281902392,0.0691729165464733
"Golgi vesicle transport","enu",-0.503885799943243,"observed","enu",0.0134544460747599,"*","GO:0048193",0.0959810212730894,0.02085568819843
"P-body assembly","enu",-0.166666666666667,"observed","enu",0.999743469002412,NA,"GO:0033962",0.999999999996455,-0.152506249879807
"RIG-I signaling pathway","enu",-0.25,"observed","enu",0.815240611283789,NA,"GO:0039529",0.999999999996455,-0.408907549634043
"RNA localization","enu",-0.646986724945995,"observed","enu",0.0649121606555769,NA,"GO:0006403",0.247964453704304,-0.167142159770602
"RNA transport","enu",-0.588019272074562,"observed","enu",0.01686781611726,"*","GO:0050658",0.10308249421923,-0.321965515579363
"Schwann cell differentiation","enu",-0.0774675560090502,"observed","enu",0.984147629214258,NA,"GO:0014037",0.999999999996455,-0.00829463946257616
"UV-damage excision repair","enu",0.396240625180289,"observed","enu",0.901351980343134,NA,"GO:0070914",0.999999999996455,0.0974937501201927
"Wnt signaling pathway","enu",-0.346063063029368,"observed","enu",0,"****","GO:0016055",0,-0.0415357494237206
"Wnt signaling pathway, planar cell polarity pathway","enu",-0.427605281756101,"observed","enu",0.376993433287669,NA,"GO:0060071",0.676110288806993,-0.141525331149758
"actin filament organization","enu",-0.492009256194312,"observed","enu",0.00250541642855153,"**","GO:0007015",0.0332860495152703,-0.122292329615995
