"region","control","enu","group_diff","group","p_value","significant_p_adjusted","significant_p_adjusted_both_groups","GO.ID","p_value.adjust"
"ATP metabolic process",0.111111111111111,0.222222222222222,0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0046034",0.797739851254194
"COPII vesicle coating",0,0,0,"downsampled",NA,NA,NA,"GO:0048208",NA
"DNA conformation change",0.222222222222222,0.111111111111111,-0.111111111111111,"downsampled",0.555566605249039,NA,NA,"GO:0071103",0.797739851254194
"DNA replication",0.111111111111111,0.68554722238248,0.574436111271369,"downsampled",0.0875967553561006,NA,NA,"GO:0006260",0.668597242556415
"DNA-templated transcription elongation",0,0.287218055635684,0.287218055635684,"downsampled",0.181238737519234,NA,NA,"GO:0006354",0.668597242556415
"G0 to G1 transition",0.111111111111111,0.111111111111111,0,"downsampled",1,NA,NA,"GO:0045023",1
"GPI anchor biosynthetic process",0,0,0,"downsampled",NA,NA,NA,"GO:0006506",NA
"Golgi localization",0,0,0,"downsampled",NA,NA,NA,"GO:0051645",NA
"Golgi organization",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0007030",0.668597242556415
"Golgi to plasma membrane protein transport",0,0,0,"downsampled",NA,NA,NA,"GO:0043001",NA
"Golgi vesicle transport",-0.222222222222222,0.111111111111111,0.333333333333333,"downsampled",0.0906695304682271,NA,NA,"GO:0048193",0.668597242556415
"P-body assembly",0,0,0,"downsampled",NA,NA,NA,"GO:0033962",NA
"RIG-I signaling pathway",0,0,0,"downsampled",NA,NA,NA,"GO:0039529",NA
"RNA localization",0.222222222222222,0.509440277857907,0.287218055635684,"downsampled",0.280996284736199,NA,NA,"GO:0006403",0.668597242556415
"RNA transport",0.111111111111111,0.509440277857907,0.398329166746796,"downsampled",0.119184702428625,NA,NA,"GO:0050658",0.668597242556415
"Schwann cell differentiation",0,0.111111111111111,0.111111111111111,"downsampled",0.346593507087334,NA,NA,"GO:0014037",0.668597242556415
"UV-damage excision repair",0,0,0,"downsampled",NA,NA,NA,"GO:0070914",NA
