"region","condition.x","median_log2fc","median.obs.mut","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust"
"cell cycle G2/M phase transition","control",1,1,"control",0.531980412762936,NA,"GO:0044839","26993/672/4361/2273/50484/1112/57504/5218/6873/55743/1785/10403/8555/5243/4998/51720/6790/63967/990/8317/994/5932/8766/4683/10270/51343/29997/29086/1021/79176/219771/5889/80279/595/2305/51147/7164/26271/900/10111/9555/60672/25949/1063/9928/9525/84930/10657/11113/1017/1026/3306/9088/10776/9113/27183/10763/891/51347/60561/1019/79621/3364/8870/580/79035/90381/7157/23476/351/2029/51514/8444/65123/805/890/58493/472/1111/9344/5884/79831/571/22976/9133/9577/995/29980/8883/808/84446/57551/51149/80174/84142/152110/11073/993/5885/9833/84936/7465/5347/6240/4204/22809/25942/57099/55031/983/8493/5569/64859/1263/9024/284001/79915/80169/9212/55920/4869/5890/23236/23194/11200/4303/79184/5087/116224/641/801/91603/56658/51451/51400/1018/54984",137,1
"cell growth","control",0,1,"control",0.885186115422515,NA,"GO:0016049","6405/3475/51265/5048/54879/6792/728642/9043/56920/672/7869/2137/3479/22902/56981/2273/7414/999/65078/3371/23338/23327/9564/1535/23105/26999/131566/9150/11054/56848/9423/6416/5588/57609/26153/387/5590/6857/8692/51447/10235/998/7224/51009/9175/7251/2023/10371/10512/79960/4133/1906/83737/634/1785/22999/23011/6595/3320/54437/2932/9706/2017/6790/9962/84678/393/8425/6548/79594/4897/57556/7042/10013/57715/3326/23411/25/8829/84861/1399/51199/10668/623/7528/57446/23394/1457/22850/4092/5716/5931/9767/58189/4682/51760/80208/23678/6422/8725/7040/5802/1954/5518/59284/54555/57817/3249/2931/136319/221927/23242/3984/7046/6456/1855/6387/5532/81621/7473/84687/8153/27346/1410/1982/65981/1027/8437/51147/56994/5467/8936/6722/10591/7422/9037/1839/5515/604/7474/5361/1154/27086/1981/150465/57669/3676/57142/2335/3488/60676/28956/10459/5997/5999/8643/6195/6794/9928/8828/6446/6696/22954/79109/53335/8835/51193/7852/3624/1031/5393/8239/1026/6662/23767/23769/23499/6597/6049/440275/54617/1032/10038/2258/23677/348/684/23025/10439/10298/23404/83667/55558/5538/4131/3021/9826/6860/9201/23111/694/84722/4803/79577/85004/91/10505/2016/183/5270/3300/11143/4686/4856/9373/9856/6386/84259/10413/5607/56924/102/80031/51196/8482/84162/144165/9746/84298/84260/94/5925/10516/5371/8826/29948/93649/7157/57521/114804/4089/2064/3487/351/207/1382/10500/8751/127833/151835/9686/2803/66000/185/55840/9353/817/6423/1956/3486/55909/9166/1029/203228/5795/55004/9538/9344/3688/9472/1909/6868/6695/2697/1601/3621/223117/55364/9868/8470/201163/118813/29104/6832/4323/221481/26053/978/57805/51094/4882/2539/3275/58191/374946/27185/2487/3020/10611/4487/27302/3490/80128/7048/6259/64769/8314/253260/734/1020/2395/81565/26585/81628/4088/5245/8085/29946/84717/10501/64223/1499/2786/84879/84289/55602/54910/25942/214/55031/9723/11214/203245/23566/22883/84275/596/3913/10201/5916/65059/10276/11007/2810/8636/8877/29882/51379/9699/51320/627/8408/6197/10425/54512/1002/9792/9798/2131/4692/668/64061/6586/1946/3009/10509/10519/5071/5592/51079/55615/5465/7003/57698/1630/51616/51393/10507/116224/123904/123879/440093/340719/64218/54413/147906/5167/55210/50618/10479/57154/2475/3897/2664/659/3304/3303/780/10399/10071/84258/11116/6494/4722/8904/55384/1654/11344/984/112398",410,1
"cell-cell signaling by wnt","control",0,1,"control",0.998735110825416,NA,"GO:0198738","51384/23072/1856/3675/54972/54623/1951/5310/80199/54903/57658/440193/25937/6591/54764/25960/55789/8452/27122/5218/65125/10076/1001/7089/259266/2263/387/55593/57560/55737/4040/2255/1459/998/2011/23291/54475/10979/9620/25930/2239/79960/1906/5663/6932/2932/1540/51701/9209/25805/25/6663/25776/10042/9978/23002/5494/51527/57680/4776/6789/23394/54994/1457/55612/6907/331/2010/64840/2254/8312/7249/6299/7976/6422/6788/8840/51366/79816/166/898/51588/7040/57664/5518/2116/2931/26959/857/7472/2887/2737/9275/10927/7091/23189/1855/84445/6468/80351/22943/219771/7473/1277/64750/9368/90410/4790/1363/8532/595/4192/65981/2735/81029/1432/6206/8724/4188/5754/9037/5515/1452/51185/84100/27031/51421/3836/7474/10297/3485/9736/6801/6382/25806/607/4139/3065/10459/79971/252839/4811/59349/23184/6794/7128/81847/5311/7320/27130/1958/23240/8434/80114/5204/4035/79809/4693/6659/6662/650/83786/5300/23499/6597/348/54795/9113/4772/261734/5562/84327/1455/406/8932/7482/79577/4038/51444/337867/324/29969/22881/55681/1910/5879/9314/153090/23213/10413/23168/5495/9101/2247/51176/1950/144165/55716/7090/80349/7041/85407/1453/3487/63977/351/128272/1952/7483/9580/9686/5868/27303/8994/6423/85409/10146/23500/7162/1956/2719/340419/4851/6934/26524/85458/2308/1456/5800/1909/83439/3087/1601/4929/90268/79705/23043/147495/65062/8324/2776/7074/8321/64897/6497/57822/1896/57805/267/1857/4041/8613/5563/84328/374946/57216/27185/2487/151195/7855/57326/90780/166336/6259/28999/59343/8323/115908/91147/65268/7415/51339/57447/10023/154810/29117/8945/3611/123169/26585/4088/51704/1613/64359/3489/92162/54949/1642/1499/3516/8313/80319/4920/53944/284654/9839/5881/1501/55031/1000/26108/4163/4300/5728/5499/5916/81839/8658/3728/57674/8322/1649/8607/23399/2300/8325/3090/10009/79718/152573/56998/2262/85474/2535/169200/387914/23401/6657/6478/2131/10159/25987/10082/10856/84133/9241/83999/80139/9968/139285/5071/4919/527/51741/283149/129293/4286/130574/55182/9863/130612/8326/120892/9679/6477/55959/7088/6714/147906/2870/1500/8861/9646/57154/164284/115701/2869/1460/10399/55366/100113407/147699/1454/30851/1654/8629/2297",377,1
"cell-substrate adhesion","control",0,1,"control",0.997471636523127,NA,"GO:0031589","26073/3675/3674/5310/960/7414/2824/395/9341/5291/5318/22998/9748/1308/4287/387/5590/6093/10420/998/9448/87/55679/10979/6480/23332/59277/57662/88/2192/8516/55604/1785/50509/2932/3693/3682/1307/2017/54749/7205/22795/57091/5829/6548/3912/3655/151887/54822/7301/201294/10580/3717/25/8829/1399/9647/11078/5155/6789/55612/182/8874/10232/11151/2294/10391/6422/7264/2267/1021/3696/5054/1842/23189/7016/9806/708/1277/1845/683/9404/4192/23603/2651/4739/5467/11149/6722/56940/7422/604/57669/3676/2335/4811/2633/9928/1490/9270/7010/3204/5328/57580/6385/27076/6239/3397/6237/23499/8910/3791/5880/4289/84962/81/3911/8500/26515/3691/54453/5786/4221/9475/948/967/3679/3915/55901/5879/7094/51754/7057/22801/4091/5861/11117/3685/55435/94/10516/1009/1012/54828/50488/6904/3491/8515/8394/8751/51057/1295/90102/5295/5921/2041/8573/80005/1029/4851/6251/51144/5795/83706/9344/3688/1793/81792/2241/5800/6695/7402/5796/1601/10018/10225/7070/25890/284/8324/123720/7074/4323/673/55698/1896/7791/11093/136227/3678/10630/7412/25992/27185/10109/2199/23122/56999/4241/3673/10085/133584/285613/10395/79778/1020/158326/7248/340706/83700/3611/56672/26585/4088/1398/558/1613/1499/1281/8754/7059/1942/5747/59339/84168/5881/3987/9723/3037/5581/596/5728/30008/253725/10855/29984/1605/79834/3728/8322/2523/340485/55920/811/91663/2049/2621/5613/71/1946/1435/10519/5034/4771/613/4059/81848/29780/4763/2316/6714/1305/55742/6281/9358/8861/25975/916/3897/780/402/2013/3672/11037/89/342184/3690",277,1
"cellular component disassembly","control",0,1,"control",0.995012228477462,NA,"GO:0022411","5976/292/3920/85477/5048/51534/26993/23376/6591/6683/9821/11345/23274/79142/822/55187/51474/57602/9474/81671/6602/55102/1659/89795/4943/3796/139341/55062/1459/9448/9948/6720/2011/6605/4905/23332/7251/119/6624/88/832/2191/5289/57103/55604/79876/65094/6604/2932/9706/25978/10269/22911/2017/4528/51510/10075/581/4313/55239/118/10059/6790/22974/64147/11213/79594/57192/11198/10013/9342/4320/27443/6598/23616/11078/24144/25793/10043/706/84164/3091/23405/7443/22985/128866/1471/84557/4281/6901/80183/4324/7249/29904/2935/9325/55192/79752/11075/665/7040/10226/11140/8775/83743/1777/23770/3249/2931/136319/7046/23064/6456/8729/22943/80279/6603/84687/1845/57482/55294/3312/23130/55626/10645/59341/4739/54516/26235/10973/9037/10297/6711/27429/51652/5341/2043/11315/829/9181/9829/9927/149371/3925/8289/23271/8673/6418/10783/9525/7043/9617/51569/2107/317/81930/5290/219402/10133/4327/4035/4778/130399/9349/718/63908/11034/3831/8678/22863/3306/6597/7429/29767/146057/54832/2258/55201/27243/84971/93974/55337/91574/10882/5119/4131/7153/23647/5562/1984/27183/10763/23075/9645/23175/324/29979/84749/57231/10677/64780/3915/10154/50853/26586/3936/3569/10241/7111/55014/1515/4609/3159/10211/5962/102/51332/57159/29766/23710/144165/5830/6601/65082/8562/3480/25989/5045/6457/10300/81631/7157/56270/162427/6455/11132/5195/11004/51506/1513/8444/1939/8751/23557/10456/51542/79137/9922/64422/9711/493856/5295/9140/8473/91782/123/401548/2934/92399/120/6749/4314/3688/5756/2241/2059/101/291/57724/130271/53918/54463/5578/126731/11096/57466/9131/9941/4323/26100/65018/9507/8867/23400/3099/146206/1676/57731/57551/162989/56893/2264/8878/6811/5563/10630/51375/25893/4921/132671/1520/29765/7855/57326/56203/25802/23122/56648/6314/79443/4241/327/256471/51368/6059/91137/2150/84340/2852/1020/58526/7415/1073/382/65991/10023/170689/256764/5579/50810/10904/4319/89927/5347/4130/10982/2801/2021/124045/57701/3396/54541/23192/154/1677/11337/983/84305/3799/3643/5499/253725/1072/10524/6599/1263/6712/488/285590/55486/9793/9776/23399/79643/55254/664/11145/666/344148/140775/8408/2629/57104/2314/2580/81858/79929/92815/23401/100287171/285973/10193/9798/668/340061/10519/3297/5071/146909/347240/1201/196528/27341/23708/124056/30849/4312/54543/11152/6840/3064/50861/10533/1803/6709/440738/65992/444/7405/987/801/830/6721/79065/780/1639/25851/285636/22828/7416/51024/11331/64601/10715/28985/57026/57553/11037/11344/143244/29082/57132",432,1
"cellular response to chemical stress","control",0,1,"control",0.155510158217082,NA,"GO:0062197","5893/572/51384/4353/5164/221/4257/2534/3082/51022/355/7444/2530/27067/84883/5601/9474/8531/54929/4638/22933/5151/5743/1906/7520/9817/5978/29957/231/3301/4313/83959/5829/825/10013/23411/3717/25/79956/5594/5625/25793/3162/706/9978/3091/51527/328/10202/655/84557/22850/215/8428/5595/10725/4363/29108/6810/55290/8989/2936/5971/857/4233/51142/3315/2146/6505/23064/5599/59338/10367/10105/6649/55294/10891/10645/59341/2054/51389/135112/8876/11235/1894/27086/4358/27429/10314/80303/10494/1386/2034/4780/2882/54206/11315/6421/9181/54936/6513/5052/7128/2309/5311/79109/8013/79912/847/5290/6780/5269/79085/140823/25824/8678/10131/10365/2671/4248/468/7732/83667/55829/2643/6737/5562/23135/5111/51526/116988/406/1965/51765/5156/29979/301/948/50640/79899/9958/51719/3569/6326/7295/7099/8737/132864/10068/834/87178/1545/10516/9990/7168/5371/8996/57707/7157/57521/6647/207/4170/405/142/29920/388/2177/10550/6622/1956/4841/10280/6188/472/4314/2308/23657/2241/1909/5163/5796/4929/22925/55364/133522/9131/5603/255027/8321/2176/65018/23400/2539/362/57465/5563/57190/4921/55139/80149/5580/493869/836/55074/94241/318/2395/538/9833/2706/10935/7248/26287/9529/5598/6778/2021/558/7001/64223/1499/624/3954/25942/983/2353/4255/2861/80310/80131/84230/55144/596/9451/9943/5970/90441/10276/9973/10333/488/1649/4482/8877/664/5074/3725/5339/2081/8575/1728/6517/375748/5831/56616/5587/3297/54033/5071/5034/677/1201/120892/8644/5478/9361/3066/65267/154807/1612/6714/4217/10533/140885/27347/2475/11179/494513/3304/3303/199/10399/51157/1147/11277/1654/1719/2876/60674/358/2119/84769/140809",294,1
"cilium assembly","control",0,1,"control",0.546591053055178,NA,"GO:0060271","51364/84058/57787/6792/11188/80199/54903/30845/23386/25937/30846/8100/1767/8481/4134/57545/10198/10806/23224/2665/9474/9696/57560/10640/29105/80216/1183/25930/5108/8556/1785/11158/5991/8555/51668/2932/10464/1540/29887/5990/8655/10013/80173/3983/9342/50487/25776/25809/11020/79734/8814/51382/9786/51098/9371/22919/6102/29070/23059/23322/9738/30844/6674/147700/93233/79846/79989/95681/7016/8729/27077/90410/79864/10938/22897/57562/23329/345895/22858/51715/79770/84100/27031/80321/55081/84223/25981/10096/55704/49856/6738/117178/56912/84071/57539/56171/7320/89891/80127/112752/83544/26123/55717/159686/92344/84902/4952/57489/27241/989/27019/28981/79809/80776/164781/84080/64284/583/10257/23157/64518/8195/11190/55112/117177/64792/146057/23639/25814/3911/11127/54558/79363/123811/22873/22832/10677/54806/9857/80210/4957/79969/85462/4750/10413/54874/26160/51626/10097/403/317662/55329/55212/144165/282809/84260/585/2622/55036/1453/22994/91978/115704/10733/1952/51057/79582/64422/170690/51256/107080638/221322/55262/2934/4851/54970/51524/196383/132320/55835/79925/79819/146279/50807/136332/65062/158297/118491/6103/93594/221481/54768/57728/138639/254050/199221/54935/56683/9114/2909/79140/755/5116/138162/221908/197335/126820/57216/27185/3754/129880/27148/55764/27152/25886/154865/54919/91147/55582/55172/123016/10807/146562/23300/388389/4218/83547/26005/125488/378/4735/79867/153241/55130/200894/202018/116840/84140/54777/143941/221421/257236/160762/22885/9657/51134/9001/84984/582/9662/26259/84747/284001/283232/79874/63917/84314/144132/79738/285331/90355/79598/3985/10801/8558/347240/200728/51259/79659/9742/353116/137392/401024/85302/150737/2316/3064/65250/55742/115948/219844/80184/23116/9851/26146/83538/1639/79600/79583/1874/55779/255758/26140/92482/90120/116143/161582",297,1
"cilium organization","control",0,1,"control",0.998410072106651,NA,"GO:0044782","51364/84058/57787/6792/11188/80199/54903/30845/23386/25937/30846/8100/1767/8481/4134/57545/10198/55761/10806/23224/2665/9474/9696/57560/10640/29105/80216/1183/22920/25930/5108/8556/1785/11158/5991/8555/51668/2932/10464/1540/29887/6790/5990/8655/10013/80173/3983/9342/50487/25776/25809/11020/79734/8814/51382/9786/51098/9371/22919/6102/29070/23059/23322/9738/30844/6674/147700/93233/79846/79989/95681/7016/8729/27077/9368/90410/79864/10938/22897/57562/23329/345895/4739/22858/51715/79770/84100/27031/80321/55081/84223/25981/10096/55704/49856/6738/117178/56912/84071/5311/57539/56171/7320/89891/80127/112752/83544/26123/55717/159686/92344/84902/4952/57489/27241/989/27019/28981/79809/80776/164781/84080/64284/583/10257/23157/64518/8195/11190/55112/117177/64792/146057/90416/23639/5819/25814/3911/11127/54558/79363/123811/22873/22832/167691/10677/54806/9857/80210/4957/79969/85462/4750/10413/54874/26160/51626/10097/403/317662/55329/55212/144165/282809/84260/585/2622/55036/1453/22994/91978/115704/10733/1952/51057/79582/64422/170690/51256/107080638/221322/55262/84131/2934/4851/54970/51524/196383/132320/55835/79925/79819/146279/50807/136332/65062/158297/118491/145483/6103/93594/221481/54768/57728/138639/254050/199221/54935/56683/9114/2909/79140/755/5116/138162/221908/197335/126820/57216/27185/3754/129880/27148/55764/27152/25886/154865/54919/91147/55582/55172/123016/10807/146562/7275/23300/388389/4218/83547/26005/199223/125488/378/4735/79867/153241/55130/200894/202018/116840/84140/54777/143941/221421/257236/160762/22885/9657/51134/9001/84984/582/9662/26259/254187/84747/8636/284001/25914/283232/79874/63917/84314/144132/79738/285331/166379/90355/79598/3985/10801/8558/347240/200728/51259/79659/9742/353116/137392/401024/85302/27341/150737/2316/3064/92104/65250/55742/115948/219844/80184/23116/9851/26146/83538/1639/79600/79583/1874/55779/255758/26140/92482/90120/116143/161582",316,1
"monosaccharide metabolic process","control",0,1,"control",0.797330915254887,NA,"GO:0005996","2519/2729/572/5166/10165/5164/1407/3423/23324/4190/3479/2530/9563/3074/6515/119391/5214/5315/5165/6095/2023/32/51548/57103/5236/10269/231/2683/9962/9942/10580/23411/6576/2033/5372/5106/23509/7355/5230/23417/10295/23516/4125/2821/208/2931/221927/2584/2027/8402/2648/230/10891/1374/2597/2784/7167/2026/29940/10090/5467/1432/2822/4124/2908/8850/5210/80146/8604/3953/34/2582/6513/10327/6794/2805/27230/5290/57486/5208/27232/8445/3425/468/10776/83667/5160/55829/8864/5562/55501/2542/3795/6652/10499/4123/5373/92579/7157/3607/5366/3487/5211/150094/207/5226/23038/130589/1609/3486/4191/8473/282969/9446/26007/140710/226/1737/2308/5163/5213/5903/22934/80201/3098/5261/2585/85414/83440/51094/3099/2539/200186/4041/115209/467/4886/2171/221937/283209/3636/11164/1353/4837/3481/90007/2875/1642/132158/5162/3667/113189/55276/51181/2720/5209/25948/3643/55657/64080/2548/92126/55277/84750/283450/5091/114897/2523/89792/5771/1196/9852/151176/4351/2517/51363/1468/390637/283871/5071/8660/23275/5465/51547/7874/145173/11091/2526/4122/57001/6714/84912/51451/3073/2592/100131187/648791/90673/89/8790",200,1
"ncRNA processing","control",0,1,"control",0.989248023763255,NA,"GO:0034470","81887/60528/113000/115939/51096/51106/6301/55596/54888/4234/23517/54802/23223/51154/51602/57602/23369/55781/6894/55726/10885/57418/3735/23536/60487/55623/51018/24140/8518/114049/3028/51095/54456/23016/56915/8468/1653/79670/22894/10269/51729/27292/51593/8602/51637/339175/8886/22803/51575/51605/16/54517/55644/26523/27037/23481/4809/10521/51493/23264/55687/8846/23405/9692/10528/51654/79863/8780/6839/5303/26512/79650/123263/56986/55756/10940/55174/90459/54938/55011/2068/55621/10775/6217/2091/7040/6223/29997/54555/11062/26024/51010/1787/10360/23560/57508/117246/55813/1655/54433/2483/51091/26610/83480/11103/4839/6428/705/54974/29102/55299/9631/8850/22916/9136/6209/84128/79954/63892/7257/80135/54680/10969/79033/387338/27042/6230/55127/51077/25940/10171/54853/11340/27340/64282/81627/130916/29066/6125/54482/3181/29960/79039/79828/5393/27161/27304/55661/10199/88745/57505/83732/10799/7737/652/192669/51119/10436/57570/54973/79066/54487/64172/65095/25983/84705/55695/23404/56342/1736/25926/6155/79727/23378/2926/57050/114034/54663/55140/25917/4613/54522/143689/9698/192670/23318/55250/134430/25821/55226/84872/10200/6041/65080/79074/11137/3569/54606/92856/51531/4686/11224/6194/91801/80745/6229/29081/6741/55759/81556/57117/6895/5073/84916/28987/27043/7157/9775/55520/56931/9875/90353/6135/6202/51093/25896/65123/4931/163859/51002/55164/55646/93587/92345/55651/10667/54901/29777/285855/6129/84294/57109/10556/22984/64852/92105/83707/120379/57647/153443/79691/10557/80746/285381/152992/84365/10813/90121/10785/85395/103/6154/51728/79707/127253/113802/64216/150962/129450/11102/23160/54859/79753/11157/84135/10412/6208/26173/25879/55656/138716/55798/84267/65083/158234/203522/84881/9188/9790/56339/142940/27079/115708/9221/4088/26995/81605/54920/51367/55720/29063/6774/9836/196074/285605/64118/126789/84520/23587/4086/5036/79042/55006/283742/51013/55636/92342/5394/6227/55178/6201/3669/112858/10248/10978/51504/54931/348180/51574/4087/9092/339487/80324/6232/55272/1662/55152/11180/63899/54913/54512/161829/23212/50628/201164/118672/8575/64963/55505/11022/283989/54059/6218/6165/51118/55039/10607/79050/80789/317781/150763/144233/51547/389421/9045/79979/134637/27341/79693/112479/161424/8270/10438/84154/55035/84549/51441/131870/116461/55253/51490/131405/131965/7247/81890/51202/1654/118460/155400/9277/404266/6234/221078/79897/5822/3692/57604/5591/9724/91893/404672",401,1
