"region","condition.x","median_log2fc","median.obs.mut","condition.y","pvalue","pvalue_symbol","GO.ID","genes","gene_length","pvalue.adjust"
"ATP metabolic process","enu",-0.0178119548653607,8.5,"enu",0.844973433607611,NA,"GO:0046034","572/204/4706/10165/65220/51085/3479/477/4719/1497/56848/4710/5214/5315/9759/6389/2023/9605/51548/57103/5236/8671/5663/10059/5027/4708/368/513/4713/706/2033/3091/6901/5230/65990/2821/7040/4967/51422/203/28964/2584/2027/4621/230/4717/10891/3312/4728/506/2597/7167/2026/523/1716/374291/8604/515/6390/4709/4702/5208/514/4694/27109/4698/4705/93974/4695/5562/63979/3939/4907/517/4711/8870/29789/4704/4716/9611/57521/3607/5211/351/481/6391/405/5313/142/4726/54539/8473/526/4715/114789/226/134145/4718/498/5213/55022/26289/518/522/201163/221264/9556/80201/3098/195827/65018/4720/516/83440/3099/4731/11182/339123/5563/205/4724/221937/318/4712/7415/30968/11164/509/4714/10845/10632/4723/10476/64223/54541/6774/4725/521/4696/3643/5223/669/64802/84833/126328/7351/26471/84277/4729/57673/51341/55526/26137/5571/4707/55967/4700/527/51079/5465/55753/5167/4541/4513/4536/4540/2475/4537/4538/4535/4508/6392/3304/3303/790955/7114/4539/402/4722/11277/51024/8505/4509/9551/539/3692/89/267020/4701",189,0.999999981120319
"COPII vesicle coating","enu",0.207518749639422,1.5,"enu",0.639990705596649,NA,"GO:0048208","79090/8452/27095/56681/10959/10342/59349/5537/111240474/89866/10113/1453/9919/51128/22878/553115/51693/60684/58485/10972/51112/126003/6399/51399/10016/10597",26,0.975699866344425
"DNA conformation change","enu",-0.207518749639422,1,"enu",0.190160009758655,NA,"GO:0071103","5965/5976/1663/4331/4361/3149/5982/5888/10721/4171/4175/7155/7520/1653/8318/25/8940/4174/84164/57680/9837/4683/4173/2068/6742/23064/56652/9400/5985/254394/4172/10973/10923/10111/84083/3181/56897/92675/84515/92797/63922/7978/25913/51659/7153/9557/3508/5983/84893/301/1660/83990/79075/3159/51008/1763/2966/10146/84296/3087/6832/9401/2071/113510/5984/3148/7486/4176/89797/54921/170506/8607/7156/64785/10856/116447/5813/57697/3146/2547/25788/641/7150/11277/1654/51750",86,0.507979886208435
"DNA replication","enu",0,9.5,"enu",0.237155680272489,NA,"GO:0006260","5965/5976/3980/10926/4784/5980/58525/672/1663/23649/4361/51507/5981/259282/11284/23338/50484/5982/5888/10721/23063/5424/57418/55388/6416/64710/5423/4171/2736/54962/4175/57662/10714/79960/9984/55218/10269/546/4998/23594/11198/8318/990/27154/8317/997/5442/4174/5427/7528/51550/9837/25939/79913/64863/11201/5932/5422/5931/9767/9093/4683/54108/4173/10535/898/83743/3978/5518/29844/27000/6742/6119/5425/56652/23560/79991/9126/9400/7126/8882/2735/8099/5985/8914/254394/26271/4172/51053/10111/5515/93973/604/54891/83444/56655/55704/4999/5000/51377/3399/6118/6418/23244/84083/51426/5930/466/1017/56897/2069/7270/92675/92667/84515/92797/63922/54617/1854/79733/353497/51659/6117/26057/7014/5111/4678/5983/23175/84893/23595/1660/57695/51455/11143/86/1025/79075/3159/8412/22891/1763/50485/580/1950/94/675/5428/90381/114799/7157/4782/10498/51514/163859/142/54465/890/5558/253714/1956/84296/7013/4781/54107/25792/6749/1111/22944/79596/5884/8467/5937/125476/84897/146956/10361/29980/8208/5763/4796/9401/222229/80174/5928/4774/6282/11073/64769/59343/5984/201973/5001/7486/144455/27343/4176/63901/9768/2021/6240/81620/10036/1877/84289/55159/2237/54921/25942/283899/201254/983/4798/6419/5429/157570/6241/246243/91607/80198/64318/3981/253980/545/378708/9134/57804/116028/8607/79915/5426/253461/348654/80010/80169/64785/10856/10189/10293/64061/116447/11124/5813/4673/10445/57697/84464/374393/641/79892/197342/5557/11169/11177/91603/7150/10919/56953/11277/29803/11232/51750",262,0.555788158675404
"DNA-templated transcription elongation","enu",-0.473766290052932,4.5,"enu",0.109416070024644,NA,"GO:0006354","54623/9862/6924/10771/9440/9150/55588/55726/8621/51548/9984/905/8812/11198/51586/6663/8563/23492/23613/51497/27336/26512/8312/6923/55756/55174/2068/81857/9441/5438/8178/2146/9400/57508/51003/6830/26610/9025/9439/10915/22916/80306/22936/56943/10102/9477/2962/5469/55795/54973/80237/904/55837/84337/11047/23211/54797/84246/10001/7428/79577/55250/29079/11143/1025/4686/64425/23168/81556/57117/80349/55090/23476/25896/65123/85403/55840/6837/92105/9412/3192/9443/219541/57805/112950/9442/400569/284695/2071/23160/165918/80335/90390/26173/55656/123169/51755/1499/55209/114825/6919/170394/79736/51574/10025/9282/29072/10189/7469/80789/10614/6917/2963/25920/6829/7919/8861/9646/6920/7936/3150/22828/6827/2074/404672",125,0.351234779406841
"G0 to G1 transition","enu",-0.160964047443681,1.5,"enu",0.223248484024331,NA,"GO:0045023","8193/50484/57492/6602/5526/6605/60/6595/6604/9274/6598/9275/6603/605/892/8289/1490/5469/6597/6665/55274/5977/86/153090/6601/1030/1111/55193/29117/6240/83695/6599/4303/196528/3135/8110/1018",37,0.54905766454444
"Golgi organization","enu",-0.646390874613923,2.5,"enu",0.00709061246266881,"**","GO:0007030","30845/55300/9820/81671/9950/10565/998/23332/3998/57662/1785/5205/57531/10959/9183/55968/11018/5594/10419/10490/7443/9321/8874/5595/25839/79895/5862/10282/11196/8729/57584/64083/1452/11235/64689/10494/26003/23207/8934/8548/50999/8674/23271/64225/84272/79591/111240474/89866/400/11113/10133/23363/128637/5605/10142/84932/148229/23345/64145/157680/57511/51361/51014/22796/9648/83548/55014/93643/85462/27314/51332/5861/8615/3801/54828/1453/54808/55204/57198/81555/6836/9919/9712/51501/738/143187/22878/51560/55361/222068/6811/23122/10466/7534/9529/23423/9382/2801/653641/4218/91949/60684/53407/5604/983/10972/51112/83452/339122/2804/1263/165324/81876/26259/80124/23015/116068/9659/728047/727909/2580/653073/55666/128989/5587/25923/54732/400451/101059918/115560/79659/65243/653720/120892/399687/3064/84342/137886/440270/643699/653125/79585",142,0.0748902375559197
"Golgi to plasma membrane protein transport","enu",0,1,"enu",0.76206156737722,NA,"GO:0043001","27032/9341/4905/10890/26088/10139/23062/1445/83871/3875/64083/6711/8548/10434/10133/2181/583/80262/23163/23499/63971/9581/55204/2803/51125/288/163882/91461/81693/25837/11031/10791/582/1201/90196/10399/6844",37,0.999999981120319
"Golgi vesicle transport","enu",-0.584962500721156,8,"enu",0.0291512989593227,"*","GO:0048193","381/51226/79090/9265/30845/27032/63932/6683/114879/6642/286/9135/11345/8452/57120/9341/55850/27095/10079/23041/8943/9950/10640/55062/4905/3998/55973/25956/27252/56681/1785/23033/10890/9522/2060/10959/9183/51290/55614/55763/23256/8773/9117/372/11018/26088/9463/11015/10490/9321/10484/10139/10483/9218/28952/6102/25839/23062/57020/1445/8775/10945/11316/10282/29886/10652/11196/8729/9570/9527/29098/83871/3875/22818/23074/51026/8724/55770/64083/80006/10802/57222/662/10342/22937/81562/29959/6711/10067/149371/59349/8548/50999/51552/5537/84272/111240474/89866/84068/400/10434/26984/1314/55297/10133/2181/9217/10564/6845/583/80262/23163/54520/128637/51614/11070/23499/4430/54832/1315/10749/64145/60412/3996/57533/57511/51124/6272/8774/56907/377/51014/60561/22796/10228/9648/83548/11014/55014/63971/6653/5861/10113/9581/403/54536/55435/22872/8615/10427/10066/9905/1453/57410/9980/55204/5872/29097/51542/23233/113419/2803/85409/81555/29934/51125/9919/84364/10525/738/4253/9871/288/143187/51594/51128/22878/375056/65258/51560/123720/6396/261729/10239/11079/222068/26958/7109/6811/8613/553115/163882/91461/5584/10466/7415/81693/51762/374868/23423/9382/164/2801/4218/51693/83696/90522/25837/378/91949/11031/60684/53407/10791/10960/58485/10972/11236/51112/83452/150684/84984/582/10897/81876/5870/9632/1176/51272/2580/2619/23760/126003/286451/22820/64764/122553/5877/5587/9276/54732/5034/51479/10134/3916/23299/3638/1201/120892/6399/399687/51399/160/80055/3064/4644/23230/7405/90196/10399/84501/6643/201475/84342/8906/6844/9179/6293/6892/150786/26286/10016/10597/79585",274,0.163761708859724
"RIG-I signaling pathway","enu",0.292481250360578,1,"enu",0.0527471023407941,NA,"GO:0039529","330/23369/7353/54941/29997/23586/708/79132/329/4940/6397/26057/9698/9958/55601/79671/81570/5245/84282/55666/63906/89870/11331/85364/26065",25,0.23705168346098
