"","condition","cycle","region","p_value","p_adjusted","significant_p_adjusted"
"1","control",1,"essential",0.980930083453473,0.980930083453473,NA
"2","control",1,"nonessential",0.758776970567626,0.980930083453473,NA
"3","control",9,"essential",0.00782324426808362,0.0156464885361672,"*"
"4","control",9,"nonessential",0.965392107753681,0.965392107753681,NA
"5","enu",3,"essential",0.637277493704729,0.703415815050498,NA
"6","enu",3,"nonessential",0.703415815050498,0.703415815050498,NA
"7","enu",6,"essential",0.240261438003088,0.480522876006177,NA
"8","enu",6,"nonessential",0.493853058992831,0.493853058992831,NA
"9","enu",9,"essential",1.90993768553794e-05,3.81987537107588e-05,"****"
"10","enu",9,"nonessential",0.996108142659185,0.996108142659185,NA
