"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"nonessential",0,1,"FALSE"
"2","control",1,"essential",0.245655198055402,0.217777862844834,"FALSE"
"3","control",9,"nonessential",-0.166666666666667,0.752772652709081,"FALSE"
"4","control",9,"essential",-1.62581458369391,0.367880421541006,"FALSE"
"5","enu",3,"nonessential",-0.269118307352535,0.466126581581527,"FALSE"
"6","enu",3,"essential",-0.241713386256472,0.10527965460839,"FALSE"
"7","enu",6,"nonessential",0.281129217767453,0.100909549417309,"FALSE"
"8","enu",6,"essential",-0.207874707030087,0.283266256684051,"FALSE"
"9","enu",9,"nonessential",-0.00931262848600771,0.109152824176533,"FALSE"
"10","enu",9,"essential",-0.42382445989716,0.195458338671154,"TRUE"
