"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"nonessential",0.219250304287988,0.89484756394266,"FALSE"
"2","control",1,"essential",0.46490550234339,0.359012351326731,"FALSE"
"3","control",9,"nonessential",0.320091198251467,0.750218757173528,"FALSE"
"4","control",9,"essential",-1.13905671877578,0.696261691931922,"FALSE"
"5","enu",3,"nonessential",-0.110522683131247,0.376653576770615,"FALSE"
"6","enu",3,"essential",-0.0831177620351839,0.187609846191234,"FALSE"
"7","enu",6,"nonessential",0.380607208643603,0.153386333271141,"FALSE"
"8","enu",6,"essential",-0.108396716153937,0.319002373060973,"FALSE"
"9","enu",9,"nonessential",0.0968429482489708,0.162726694127137,"FALSE"
"10","enu",9,"essential",-0.317668883162182,0.15287328104496,"TRUE"
