"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"nonexpressed_regions_exons_promoters_enhancers",-0.111141244575064,0.136170164493286,"FALSE"
"2","control",1,"expressed_regions_exons_promoters_enhancers",-0.382786844708018,0.490195491506264,"TRUE"
"3","control",9,"nonexpressed_regions_exons_promoters_enhancers",-0.015518234065247,0.447983417218475,"FALSE"
"4","control",9,"expressed_regions_exons_promoters_enhancers",-1.04747973016467,0.282456874482289,"TRUE"
"5","enu",3,"nonexpressed_regions_exons_promoters_enhancers",-0.0429876173489939,0.098477115232922,"FALSE"
"6","enu",3,"expressed_regions_exons_promoters_enhancers",-0.400802694919529,0.173346294883579,"TRUE"
"7","enu",6,"nonexpressed_regions_exons_promoters_enhancers",0.0396109442064673,0.139405172727376,"FALSE"
"8","enu",6,"expressed_regions_exons_promoters_enhancers",-0.343939068556684,0.0744378526607635,"TRUE"
"9","enu",9,"nonexpressed_regions_exons_promoters_enhancers",-0.0201194227732967,0.101180470791595,"TRUE"
"10","enu",9,"expressed_regions_exons_promoters_enhancers",-0.413105716171338,0.075175861786566,"TRUE"
