"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"nonexpressed_regions_exons_promoters_enhancers",0.133293166121841,0.216927673596252,"FALSE"
"2","control",1,"expressed_regions_exons_promoters_enhancers",-0.138352434011114,0.47588729762504,"TRUE"
"3","control",9,"nonexpressed_regions_exons_promoters_enhancers",0.708995640700773,0.488184833072957,"FALSE"
"4","control",9,"expressed_regions_exons_promoters_enhancers",-0.32296585539865,0.254075673663555,"TRUE"
"5","enu",3,"nonexpressed_regions_exons_promoters_enhancers",0.140248904219979,0.0812459134687201,"FALSE"
"6","enu",3,"expressed_regions_exons_promoters_enhancers",-0.217566173350556,0.20612508831477,"TRUE"
"7","enu",6,"nonexpressed_regions_exons_promoters_enhancers",0.236785494105821,0.175445633840898,"FALSE"
"8","enu",6,"expressed_regions_exons_promoters_enhancers",-0.146764518657331,0.00961791010987524,"TRUE"
"9","enu",9,"nonexpressed_regions_exons_promoters_enhancers",0.138105257596644,0.126493036406756,"TRUE"
"10","enu",9,"expressed_regions_exons_promoters_enhancers",-0.254881035801397,0.130286087452413,"TRUE"
