"","condition","cycle","region","log2fc.norm.mean","obs.mut.mean","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id"
"1","control",1,"ATP metabolic process",-0.602330461814882,0,0,1,1,NA,"GO:0046034"
"2","control",1,"COPII vesicle coating",0.447324679029707,0,0,1,1,NA,"GO:0048208"
"3","control",1,"DNA conformation change",-0.065529267943287,0.333333333333333,0,0.797693502902129,1,NA,"GO:0071103"
"4","control",1,"DNA replication",-0.452114638468754,0.333333333333333,0.666666666666667,0.972995492191578,1,NA,"GO:0006260"
"5","control",1,"DNA-templated transcription elongation",-0.558376081804954,0,0,1,1,NA,"GO:0006354"
"6","control",1,"G0 to G1 transition",0.637478989371721,0.333333333333333,0,0.527845461042201,1,NA,"GO:0045023"
"7","control",1,"GPI anchor biosynthetic process",-0.125720016490561,0,0,1,1,NA,"GO:0006506"
"8","control",1,"Golgi organization",-0.46724424263913,0.333333333333333,0,0.898111107814197,1,NA,"GO:0007030"
"9","control",1,"Golgi to plasma membrane protein transport",0.101365529093986,0,0,1,1,NA,"GO:0043001"
"10","control",1,"Golgi vesicle transport",-0.445087116137857,0.333333333333333,0.666666666666667,0.973540127356124,1,NA,"GO:0048193"
"11","control",1,"NADP metabolic process",0.328871465808596,0,0,1,1,NA,"GO:0006739"
"12","control",1,"NADPH regeneration",0.359646543751776,0,0,1,1,NA,"GO:0006740"
"13","control",1,"RNA localization",-0.163450994458233,0.333333333333333,0,0.913456133839539,1,NA,"GO:0006403"
"14","control",1,"RNA transport",-0.523410469886735,0,0,1,1,NA,"GO:0050658"
"15","control",1,"Schwann cell differentiation",0.585670512122655,0,0,1,1,NA,"GO:0014037"
"16","control",1,"U2-type prespliceosome assembly",0.61884906997296,0.333333333333333,0,0.459466413117868,1,NA,"GO:1903241"
"17","control",1,"UV-damage excision repair",0,0,0,1,1,NA,"GO:0070914"
"18","control",1,"Wnt signaling pathway",-0.407966730718541,1,1.33333333333333,0.66642192599207,1,NA,"GO:0016055"
"19","control",1,"actin filament organization",0.0145621545734714,1,1,0.876026999067875,1,NA,"GO:0007015"
"20","control",1,"alcohol biosynthetic process",0.0948814082052633,0.666666666666667,0,0.397057709105365,1,NA,"GO:0046165"
"21","control",1,"amino sugar biosynthetic process",0.101335395630033,0,0,1,1,NA,"GO:0046349"
"22","control",1,"aminoglycan biosynthetic process",-0.0825344864358165,0,0,1,1,NA,"GO:0006023"
"23","control",1,"apoptotic mitochondrial changes",-1.00835416626602,0,0,1,1,NA,"GO:0008637"
"24","control",1,"appendage development",-0.0759697643665378,0.666666666666667,0,0.546969396648522,1,NA,"GO:0048736"
"25","control",1,"aromatic compound catabolic process",-0.414097738339581,0.333333333333333,1,0.787583962920358,1,NA,"GO:0019439"
"26","control",1,"autophagosome maturation",0.0178965965919713,0,0,1,1,NA,"GO:0097352"
"27","control",1,"autophagy of mitochondrion",-0.150010973545016,0,0,1,1,NA,"GO:0000422"
"28","control",1,"axon extension",-0.726659555368745,0,0,1,1,NA,"GO:0048675"
"29","control",1,"basement membrane organization",0.197837601361695,0,0,1,1,NA,"GO:0071711"
"30","control",1,"biological process involved in interaction with host",-0.0518825519651568,0.666666666666667,0,0.726846661426183,1,NA,"GO:0051701"
"31","control",1,"body morphogenesis",0.354813353853404,0,0,1,1,NA,"GO:0010171"
"32","control",1,"bone development",-0.1260826134257,1.33333333333333,0.666666666666667,0.680182987421457,1,NA,"GO:0060348"
"33","control",1,"branched-chain amino acid metabolic process",0.315184071992541,0,0,1,1,NA,"GO:0009081"
"34","control",1,"carbohydrate derivative catabolic process",0.255178248787659,0.333333333333333,0,0.894599030496108,1,NA,"GO:1901136"
"35","control",1,"carbohydrate derivative transport",-0.019517394118371,0,0,1,1,NA,"GO:1901264"
"36","control",1,"cell cycle G1/S phase transition",-0.307296826823496,0.666666666666667,0.666666666666667,0.817275553680747,1,NA,"GO:0044843"
"37","control",1,"cell cycle G2/M phase transition",-0.643203557369534,0,0,1,1,NA,"GO:0044839"
"38","control",1,"cell cycle checkpoint signaling",-0.460902140659442,0,0,1,1,NA,"GO:0000075"
"39","control",1,"cell growth",-0.558609579792775,1.33333333333333,1.33333333333333,0.603187755054823,1,NA,"GO:0016049"
"40","control",1,"cell migration involved in heart development",0.480503236880012,0.333333333333333,0,0.513753573756745,1,NA,"GO:0060973"
"41","control",1,"cell redox homeostasis",0.404344175614203,0,0,1,1,NA,"GO:0045454"
"42","control",1,"cell-cell signaling by wnt",-0.660791723449531,1,1.33333333333333,0.665918645177865,1,NA,"GO:0198738"
"43","control",1,"cell-substrate adhesion",0.523176876332987,1.66666666666667,1,0.942860958458217,1,NA,"GO:0031589"
"44","control",1,"cell-substrate junction assembly",0.0680335991017457,0.333333333333333,0,0.948288056975036,1,NA,"GO:0007044"
"45","control",1,"cell-substrate junction organization",-0.322075649508525,0.333333333333333,0,0.953362722074728,1,NA,"GO:0150115"
"46","control",1,"cellular carbohydrate metabolic process",-1.13098272987685,0,0.666666666666667,0.854542756426497,1,NA,"GO:0044262"
"47","control",1,"cellular component disassembly",-0.40742277221268,0.666666666666667,1,0.937880657208172,1,NA,"GO:0022411"
"48","control",1,"cellular lipid catabolic process",-0.576401290294468,0,0,1,1,NA,"GO:0044242"
"49","control",1,"cellular metabolic compound salvage",0.508799536075516,0,0,1,1,NA,"GO:0043094"
"50","control",1,"cellular nitrogen compound catabolic process",-1.12926353562915,0.333333333333333,1,0.791885284119668,1,NA,"GO:0044270"
"51","control",1,"cellular pigment accumulation",0.0506676978150167,0,0,1,1,NA,"GO:0043482"
"52","control",1,"cellular pigmentation",1.03781934992776,0.666666666666667,0,0.32838081768764,1,NA,"GO:0033059"
"53","control",1,"cellular respiration",-0.307496877593028,0,0,1,1,NA,"GO:0045333"
"54","control",1,"cellular response to UV",-0.405952038637799,0,0,1,1,NA,"GO:0034644"
"55","control",1,"cellular response to acid chemical",-0.32609992694205,0,0,1,1,NA,"GO:0071229"
"56","control",1,"cellular response to arsenic-containing substance",0.0779024197968535,0,0,1,1,NA,"GO:0071243"
"57","control",1,"cellular response to chemical stress",-0.238149747321606,1,0.666666666666667,0.486188498118054,1,NA,"GO:0062197"
"58","control",1,"cellular response to dsRNA",0.12857011761187,0,0,1,1,NA,"GO:0071359"
"59","control",1,"cellular response to external stimulus",0.106247787748787,0.666666666666667,0.666666666666667,0.821947468383033,1,NA,"GO:0071496"
"60","control",1,"cellular response to extracellular stimulus",-1.41325044521093,0.333333333333333,0.333333333333333,0.776077877590333,1,NA,"GO:0031668"
"61","control",1,"cellular response to fluid shear stress",0.101335395630033,0,0,1,1,NA,"GO:0071498"
"62","control",1,"cellular response to heat",0.399060461121815,0.333333333333333,0,0.749007568200957,1,NA,"GO:0034605"
"63","control",1,"cellular response to insulin stimulus",-1.06787606799872,0,0,1,1,NA,"GO:0032869"
"64","control",1,"cellular response to ketone",-0.278611224620839,0,0,1,1,NA,"GO:1901655"
"65","control",1,"cellular response to oxygen levels",-0.0224015320834652,0.333333333333333,0,0.959475838780106,1,NA,"GO:0071453"
"66","control",1,"cellular response to sterol depletion",0.189013530907965,0,0,1,1,NA,"GO:0071501"
"67","control",1,"cellular response to topologically incorrect protein",-0.211217203146235,0.333333333333333,0,0.78978913543696,1,NA,"GO:0035967"
