"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"1","control","1","actin filament organization",-0.20334166650641,0.112576085752399,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,3,1,0.994780039191209,1,NA,"GO:0007015",85,"FALSE",-0.182568128553075,-0.0207735379533348,0.328529844845214
"2","control","1","alcohol biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999062435133848,1,NA,"GO:0046165",163,"FALSE",-0.410855903866351,0.521967014977462,0.328529844845214
"3","control","1","amino sugar biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046349",747,"FALSE",0.0740740740740741,-0.0740740740740741,0.328529844845214
"4","control","1","aminoglycan biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.988831051806991,1,NA,"GO:0006023",163,"FALSE",0.102032870450499,0.0090782406606123,0.328529844845214
"5","control","1","apoptotic mitochondrial changes",0.398329166746796,0.43448857247102,1.33333333333333,0.444444444444444,0.509175077217316,1.14564392373896,0,0,0.57460108676721,1,NA,"GO:0008637",38,"FALSE",-0.327039814761396,0.725368981508191,0.328529844845214
"6","control","1","appendage development",0.287218055635684,0.49747626521215,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.762029473523596,1,NA,"GO:0048736",57,"FALSE",-0.182340163072192,0.469558218707876,0.328529844845214
"7","control","1","aromatic compound catabolic process",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.99756429416599,1,NA,"GO:0019439",63,"FALSE",-0.167268884032213,-0.101068615887659,0.328529844845214
"8","control","1","ATP metabolic process",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.996682147933255,1,NA,"GO:0046034",47,"FALSE",-0.223787780931628,0.557121114264962,0.328529844845214
"9","control","1","autophagosome maturation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.991151924091813,1,NA,"GO:0097352",163,"FALSE",0.191478703757123,-0.0803675926460117,0.328529844845214
"10","control","1","autophagy of mitochondrion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0000422",747,"FALSE",-0.268337499919872,0.268337499919872,0.328529844845214
"11","control","1","axon extension",0.333333333333333,0,1,0.333333333333333,0,0,0,0,0.974166807043283,1,NA,"GO:0048675",47,"FALSE",-0.225006944310897,0.55834027764423,0.328529844845214
"12","control","1","basement membrane organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071711",747,"FALSE",0.148148148148148,-0.148148148148148,0.328529844845214
"13","control","1","biological process involved in interaction with host",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.992557933329476,1,NA,"GO:0051701",47,"FALSE",-0.303253589238503,0.636586922571837,0.328529844845214
"14","control","1","body morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0010171",747,"FALSE",0.280924537063747,-0.280924537063747,0.328529844845214
"15","control","1","bone development",0.333333333333333,0.333333333333333,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,0.333333333333333,0.111111111111111,0.978452516083852,1,NA,"GO:0060348",47,"FALSE",-0.242430326678573,0.575763660011906,0.328529844845214
"16","control","1","branched-chain amino acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0009081",747,"FALSE",0.24388750002671,-0.24388750002671,0.328529844845214
"17","control","1","carbohydrate derivative catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901136",747,"FALSE",-0.185185185185185,0.185185185185185,0.328529844845214
"18","control","1","carbohydrate derivative transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901264",747,"FALSE",-0.0524087962695868,0.0524087962695868,0.328529844845214
"19","control","1","cell cycle checkpoint signaling",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.992229166140475,1,NA,"GO:0000075",81,"FALSE",-0.304581137979042,0.526803360201264,0.328529844845214
"20","control","1","cell cycle G1/S phase transition",0.222222222222222,0.384900179459751,2,0.666666666666667,0.333333333333333,0.5,1.33333333333333,0.444444444444444,0.984202741865909,1,NA,"GO:0044843",81,"FALSE",-0.0858074122157625,0.308029634437985,0.328529844845214
"21","control","1","cell cycle G2/M phase transition",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.969511785430955,1,NA,"GO:0044839",47,"FALSE",-0.247999770855923,0.581333104189256,0.328529844845214
"22","control","1","cell growth",0.0254242989439862,0.141829094725117,4.33333333333333,1.44444444444444,0.384900179459751,0.266469355010597,3,1,0.233409631838209,1,NA,"GO:0016049",451,"FALSE",-0.222888166791876,0.248312465735862,0.328529844845214
