"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"1","control","1","actin filament organization",-0.138345833092948,0.801486874080731,3,1,1,1,3,1,0.876026999067875,1,NA,"GO:0007015",137,"FALSE",0.111141244575064,-0.249487077668012,0.397073346477591
"2","control","1","alcohol biosynthetic process",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.397057709105365,1,NA,"GO:0046165",26,"FALSE",0.333333333333333,0.194987500240387,0.397073346477591
"3","control","1","amino sugar biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046349",747,"FALSE",0,0,0.397073346477591
"4","control","1","aminoglycan biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006023",747,"FALSE",-0.666666666666667,0.666666666666667,0.397073346477591
"5","control","1","apoptotic mitochondrial changes",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0008637",747,"FALSE",-0.333333333333333,0.333333333333333,0.397073346477591
"6","control","1","appendage development",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.546969396648522,1,NA,"GO:0048736",26,"FALSE",0.77397603162912,-0.2456551980554,0.397073346477591
"7","control","1","aromatic compound catabolic process",-0.666666666666667,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,3,1,0.787583962920358,1,NA,"GO:0019439",20,"FALSE",-0.881285396591576,0.214618729924909,0.397073346477591
"8","control","1","ATP metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046034",747,"FALSE",-0.14431980242537,0.14431980242537,0.397073346477591
"9","control","1","autophagosome maturation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0097352",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"10","control","1","autophagy of mitochondrion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0000422",747,"FALSE",-0.333333333333333,0.333333333333333,0.397073346477591
"11","control","1","axon extension",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0048675",747,"FALSE",-0.666666666666667,0.666666666666667,0.397073346477591
"12","control","1","basement membrane organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071711",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"13","control","1","biological process involved in interaction with host",0.666666666666667,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,0,0,0.726846661426183,1,NA,"GO:0051701",20,"FALSE",0.471679166426281,0.194987500240385,0.397073346477591
"14","control","1","body morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0010171",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"15","control","1","bone development",0.52832083357372,0.915078526446824,4,1.33333333333333,0.577350269189626,0.433012701892219,2,0.666666666666667,0.680182987421457,1,NA,"GO:0060348",26,"FALSE",-0.0566416671474373,0.584962500721157,0.397073346477591
"16","control","1","branched-chain amino acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0009081",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"17","control","1","carbohydrate derivative catabolic process",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.894599030496108,1,NA,"GO:1901136",47,"FALSE",0.194987500240385,0.138345833092948,0.397073346477591
"18","control","1","carbohydrate derivative transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901264",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"19","control","1","cell cycle checkpoint signaling",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0000075",747,"FALSE",-0.52832083357372,0.52832083357372,0.397073346477591
"20","control","1","cell cycle G1/S phase transition",0,1,2,0.666666666666667,0.577350269189626,0.866025403784439,2,0.666666666666667,0.817275553680747,1,NA,"GO:0044843",747,"FALSE",-0.471679166426281,0.471679166426281,0.397073346477591
"21","control","1","cell cycle G2/M phase transition",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0044839",747,"FALSE",-0.528320833573719,0.528320833573719,0.397073346477591
"22","control","1","cell growth",-0.194987500240385,1.05549058534408,4,1.33333333333333,1.52752523165195,1.14564392373896,4,1.33333333333333,0.603187755054823,1,NA,"GO:0016049",93,"FALSE",-0.440642698295787,0.245655198055402,0.397073346477591
"23","control","1","cell migration involved in heart development",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.513753573756745,1,NA,"GO:0060973",47,"FALSE",0.666666666666667,-0.333333333333333,0.397073346477591
"24","control","1","cell redox homeostasis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045454",747,"FALSE",0,0,0.397073346477591
"25","control","1","cell-cell signaling by wnt",-0.528320833573719,0.816972281122055,3,1,1.73205080756888,1.73205080756888,4,1.33333333333333,0.665918645177865,1,NA,"GO:0198738",26,"FALSE",-0.107309364962454,-0.421011468611265,0.397073346477591
"26","control","1","cell-substrate adhesion",0.389975000480771,0.337728257257196,5,1.66666666666667,0.577350269189626,0.346410161513775,3,1,0.942860958458217,1,NA,"GO:0031589",38,"FALSE",-0.138345833092948,0.528320833573719,0.397073346477591
"27","control","1","cell-substrate junction assembly",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.948288056975036,1,NA,"GO:0007044",47,"FALSE",-0.666666666666667,1,0.397073346477591
"28","control","1","cell-substrate junction organization",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.953362722074728,1,NA,"GO:0150115",47,"FALSE",-0.471679166426281,0.805012499759615,0.397073346477591
"29","control","1","cellular carbohydrate metabolic process",-0.666666666666667,0.577350269189626,0,0,0,NA,2,0.666666666666667,0.854542756426497,1,NA,"GO:0044262",20,"FALSE",-0.031036468130494,-0.635630198536173,0.397073346477591
"30","control","1","cellular component disassembly",-0.333333333333333,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,3,1,0.937880657208172,1,NA,"GO:0022411",47,"FALSE",-0.824643729444137,0.491310396110804,0.397073346477591
"31","control","1","cellular lipid catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0044242",747,"FALSE",-0.333333333333333,0.333333333333333,0.397073346477591
"32","control","1","cellular metabolic compound salvage",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043094",747,"FALSE",0,0,0.397073346477591
"33","control","1","cellular nitrogen compound catabolic process",-0.666666666666667,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,3,1,0.791885284119668,1,NA,"GO:0044270",20,"FALSE",-0.881285396591576,0.214618729924909,0.397073346477591
"34","control","1","cellular pigment accumulation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043482",747,"FALSE",0,0,0.397073346477591
"35","control","1","cellular pigmentation",0.666666666666667,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,0,0,0.32838081768764,1,NA,"GO:0033059",20,"FALSE",1,-0.333333333333333,0.397073346477591
"36","control","1","cellular respiration",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045333",747,"FALSE",-0.194987500240385,0.194987500240385,0.397073346477591
"37","control","1","cellular response to acid chemical",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071229",747,"FALSE",-0.333333333333333,0.333333333333333,0.397073346477591
"38","control","1","cellular response to arsenic-containing substance",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071243",747,"FALSE",0,0,0.397073346477591
"39","control","1","cellular response to chemical stress",0.194987500240387,1.30346571741306,3,1,1,1,2,0.666666666666667,0.486188498118054,1,NA,"GO:0062197",93,"FALSE",0.302296865202839,-0.107309364962453,0.397073346477591
"40","control","1","cellular response to dsRNA",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071359",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"41","control","1","cellular response to external stimulus",0,1,2,0.666666666666667,0.577350269189626,0.866025403784439,2,0.666666666666667,0.821947468383033,1,NA,"GO:0071496",747,"FALSE",0.0196312296845227,-0.0196312296845227,0.397073346477591
"42","control","1","cellular response to extracellular stimulus",0,1,1,0.333333333333333,0.577350269189626,1.73205080756888,1,0.333333333333333,0.776077877590333,1,NA,"GO:0031668",747,"FALSE",-0.14431980242537,0.14431980242537,0.397073346477591
"43","control","1","cellular response to fluid shear stress",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071498",747,"FALSE",0.666666666666667,-0.666666666666667,0.397073346477591
"44","control","1","cellular response to heat",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.749007568200957,1,NA,"GO:0034605",47,"FALSE",0.194987500240385,0.138345833092948,0.397073346477591
"45","control","1","cellular response to insulin stimulus",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032869",747,"FALSE",-0.389975000480771,0.389975000480771,0.397073346477591
"46","control","1","cellular response to ketone",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901655",747,"FALSE",0.0566416671474373,-0.0566416671474373,0.397073346477591
"47","control","1","cellular response to oxygen levels",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.959475838780106,1,NA,"GO:0071453",47,"FALSE",-0.477653135758703,0.810986469092037,0.397073346477591
"48","control","1","cellular response to sterol depletion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071501",747,"FALSE",0,0,0.397073346477591
"49","control","1","cellular response to topologically incorrect protein",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.78978913543696,1,NA,"GO:0035967",47,"FALSE",0.52832083357372,-0.194987500240387,0.397073346477591
"50","control","1","cellular response to transforming growth factor beta stimulus",0.194987500240385,0.337728257257196,3,1,1,1,2,0.666666666666667,0.989056930470564,1,NA,"GO:0071560",93,"FALSE",-0.52832083357372,0.723308333814105,0.397073346477591
"51","control","1","cellular response to UV",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034644",747,"FALSE",0.138345833092948,-0.138345833092948,0.397073346477591
"52","control","1","cellular senescence",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0090398",747,"FALSE",0,0,0.397073346477591
"53","control","1","centromere complex assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034508",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"54","control","1","centrosome localization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0051642",747,"FALSE",0,0,0.397073346477591
"55","control","1","chaperone-mediated autophagy",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0061684",747,"FALSE",0,0,0.397073346477591
"56","control","1","chondrocyte differentiation",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.895928690410562,1,NA,"GO:0002062",47,"FALSE",-0.138345833092948,0.471679166426281,0.397073346477591
"57","control","1","chromatin remodeling",-0.333333333333333,0.577350269189626,2,0.666666666666667,0.577350269189626,0.866025403784439,3,1,0.956193200006081,1,NA,"GO:0006338",47,"FALSE",-0.666666666666667,0.333333333333333,0.397073346477591
"58","control","1","chromosome localization",0.52832083357372,0.915078526446824,2,0.666666666666667,1.15470053837925,1.73205080756888,0,0,0.226551998789589,1,NA,"GO:0050000",26,"FALSE",-0.471679166426281,1,0.397073346477591
"59","control","1","chromosome segregation",-0.138345833092948,0.801486874080731,3,1,1,1,3,1,0.856890179547538,1,NA,"GO:0007059",137,"FALSE",-0.440642698295787,0.302296865202839,0.397073346477591
"60","control","1","cilium assembly",-0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,2,0.666666666666667,0.970619297681417,1,NA,"GO:0060271",47,"FALSE",0.138345833092948,-0.471679166426281,0.397073346477591
"61","control","1","cilium organization",-0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,2,0.666666666666667,0.966470077630214,1,NA,"GO:0044782",47,"FALSE",0.194987500240385,-0.528320833573719,0.397073346477591
"62","control","1","circadian regulation of gene expression",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032922",747,"FALSE",-0.666666666666667,0.666666666666667,0.397073346477591
"63","control","1","clathrin-dependent endocytosis",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.57223879685158,1,NA,"GO:0072583",47,"FALSE",0.333333333333333,0,0.397073346477591
"64","control","1","collagen fibril organization",0.333333333333333,0.577350269189626,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.901397405239823,1,NA,"GO:0030199",47,"FALSE",-0.666666666666667,1,0.397073346477591
"65","control","1","connective tissue development",0.389975000480771,0.337728257257196,5,1.66666666666667,0.577350269189626,0.346410161513775,3,1,0.934375248551686,1,NA,"GO:0061448",38,"FALSE",0.302296865202839,0.0876781352779313,0.397073346477591
"66","control","1","COPII vesicle coating",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0048208",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
"67","control","1","cortical cytoskeleton organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0030865",747,"FALSE",0.333333333333333,-0.333333333333333,0.397073346477591
