"","condition","cycle","region","log2fc.mean.norm","obs.mut.mean","sim.mut.mean","combined_pvalue","combined_pvalue_adjusted","go.id"
"1","control",1,"ATP metabolic process",0.602330461814882,0.333333333333333,0,0.996682147933255,1,"GO:0046034"
"2","control",1,"COPII vesicle coating",-0.447324679029707,0,0,1,1,"GO:0048208"
"3","control",1,"DNA conformation change",0.39886260127662,0.222222222222222,0,0.941413356860985,1,"GO:0071103"
"4","control",1,"DNA replication",0.118781305135421,0.666666666666667,0.666666666666667,0.972163992295103,1,"GO:0006260"
"5","control",1,"DNA-templated transcription elongation",0.558376081804954,0.222222222222222,0,0.989877401500129,1,"GO:0006354"
"6","control",1,"G0 to G1 transition",-0.304145656038387,0,0,1,1,"GO:0045023"
"7","control",1,"GPI anchor biosynthetic process",0.125720016490561,0.222222222222222,0,0.617774960252086,1,"GO:0006506"
"8","control",1,"Golgi organization",0.800577575972464,0.222222222222222,0,0.989315134769635,1,"GO:0007030"
"9","control",1,"Golgi to plasma membrane protein transport",-0.101365529093986,0.111111111111111,0,0.981847085299642,1,"GO:0043001"
"10","control",1,"Golgi vesicle transport",0.111753782804524,0.777777777777778,0.777777777777778,0.989713523756739,1,"GO:0048193"
"11","control",1,"NADP metabolic process",-0.328871465808596,0.111111111111111,0,0.980315719395914,1,"GO:0006739"
"12","control",1,"NADPH regeneration",-0.359646543751776,0,0,1,1,"GO:0006740"
"13","control",1,"RNA localization",0.496784327791567,0.333333333333333,0.111111111111111,0.975542538903521,1,"GO:0006403"
"14","control",1,"RNA transport",0.523410469886735,0.444444444444444,0,0.929456891526889,1,"GO:0050658"
"15","control",1,"Schwann cell differentiation",-0.585670512122655,0,0,1,1,"GO:0014037"
"16","control",1,"U2-type prespliceosome assembly",-0.285515736639626,0,0,1,1,"GO:1903241"
"17","control",1,"UV-damage excision repair",0,0,0,1,1,"GO:0070914"
"18","control",1,"Wnt signaling pathway",-0.120354102855177,0.888888888888889,1,0.945637064480503,1,"GO:0016055"
