"","condition","cycle","region","log2fc.mean","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"1","control","1","ATP metabolic process",-0.223787780931628,5.66666666666667,1.88888888888889,0.509175077217316,0.269563276173873,2.07407407407407,0.890622875920471,1,NA,"GO:0046034",81,"FALSE"
"2","control","1","COPII vesicle coating",0.354998611137821,1.11111111111111,0.37037037037037,0.169725025739105,0.458257569495584,0,0.990790217261222,1,NA,"GO:0048208",42,"FALSE"
"3","control","1","DNA conformation change",-0.0558572927285307,2.77777777777778,0.925925925925926,0.0641500299099585,0.0692820323027551,0.888888888888889,0.972467786450181,1,NA,"GO:0071103",306,"FALSE"
"4","control","1","DNA replication",-0.263975004434422,7.22222222222222,2.40740740740741,0.128300059819917,0.0532938710021192,2.74074074074074,0.831681778934962,1,NA,"GO:0006260",63,"FALSE"
"5","control","1","DNA-templated transcription elongation",-0.252965740687322,3,1,0.192450089729875,0.192450089729875,1.18518518518519,0.998244679100117,1,NA,"GO:0006354",66,"FALSE"
"6","control","1","G0 to G1 transition",0.22851574079416,1,0.333333333333333,0.192450089729875,0.577350269189626,0.0740740740740741,0.999994755809404,1,NA,"GO:0045023",81,"FALSE"
"7","control","1","GPI anchor biosynthetic process",0.169813425952636,0.555555555555556,0.185185185185185,0.169725025739105,0.916515138991168,0,0.999993802519372,1,NA,"GO:0006506",112,"FALSE"
"8","control","1","Golgi organization",-0.525475811460725,2.44444444444444,0.814814814814815,0.420659877466687,0.516264395072752,1.33333333333333,0.990656983866598,1,NA,"GO:0007030",26,"FALSE"
"9","control","1","Golgi to plasma membrane protein transport",0.24388750002671,0.888888888888889,0.296296296296296,0.231296222162904,0.7806247497998,0.037037037037037,0.999987964717691,1,NA,"GO:0043001",71,"FALSE"
"10","control","1","Golgi vesicle transport",-0.246672222115384,7.33333333333333,2.44444444444444,0.618640484758891,0.253080198310456,2.85185185185185,0.994707857151669,1,NA,"GO:0048193",71,"FALSE"
"11","control","1","NADP metabolic process",0.435366203783833,1.44444444444444,0.481481481481481,0.0641500299099585,0.133234677505298,0,0.973958316990783,1,NA,"GO:0006739",33,"FALSE"
"12","control","1","NADPH regeneration",0.280924537063747,0.888888888888889,0.296296296296296,0.231296222162904,0.7806247497998,0,0.988188911766522,1,NA,"GO:0006740",57,"FALSE"
"13","control","1","RNA localization",-0.221428823244355,4.77777777777778,1.59259259259259,0.898100418739418,0.563923518743355,1.74074074074074,0.993723930672987,1,NA,"GO:0006403",81,"FALSE"
"14","control","1","RNA transport",-0.052408796269587,4.55555555555556,1.51851851851852,0.714344500814293,0.47042198834112,1.22222222222222,0.863178339265801,1,NA,"GO:0050658",306,"FALSE"
"15","control","1","Schwann cell differentiation",0.487775000053419,1.55555555555556,0.518518518518518,0.27962349760262,0.539273888233625,0,0.865320365243874,1,NA,"GO:0014037",27,"FALSE"
"16","control","1","U2-type prespliceosome assembly",0.222222222222222,0.666666666666667,0.222222222222222,0.111111111111111,0.5,0,0.999999531783201,1,NA,"GO:1903241",81,"FALSE"
"17","control","1","UV-damage excision repair",0,0,0,0,NA,0,1,1,NA,"GO:0070914",747,"FALSE"
"18","control","1","Wnt signaling pathway",-0.217258422590207,9.88888888888889,3.2962962962963,0.611952283031789,0.185648445414138,3.48148148148148,0.753161052096839,1,NA,"GO:0016055",82,"FALSE"
"19","control","1","actin filament organization",-0.182568128553075,10,3.33333333333333,0.867805519545184,0.260341655863555,3.48148148148148,0.903738961118697,1,NA,"GO:0007015",99,"FALSE"
"20","control","1","alcohol biosynthetic process",-0.410855903866351,2.33333333333333,0.777777777777778,0.293972367896066,0.377964473009227,1.07407407407407,0.964686302078202,1,NA,"GO:0046165",34,"FALSE"
"21","control","1","amino sugar biosynthetic process",0.0740740740740741,0.222222222222222,0.0740740740740741,0.0641500299099584,0.866025403784439,0,0.999999999975181,1,NA,"GO:0046349",241,"FALSE"
"22","control","1","aminoglycan biosynthetic process",0.102032870450499,1.55555555555556,0.518518518518518,0.231296222162904,0.446071285599886,0.37037037037037,0.999934678642422,1,NA,"GO:0006023",180,"FALSE"
"23","control","1","apoptotic mitochondrial changes",-0.327039814761396,2.11111111111111,0.703703703703704,0.33945005147821,0.48237638894272,0.925925925925926,0.999679276778347,1,NA,"GO:0008637",48,"FALSE"
"24","control","1","appendage development",-0.182340163072192,3.33333333333333,1.11111111111111,0.384900179459751,0.346410161513775,1.11111111111111,0.989489537896182,1,NA,"GO:0048736",99,"FALSE"
"25","control","1","aromatic compound catabolic process",-0.167268884032213,11.4444444444444,3.81481481481481,0.128300059819917,0.0336320545159005,4.11111111111111,0.95121247094816,1,NA,"GO:0019439",112,"FALSE"
"26","control","1","autophagosome maturation",0.191478703757123,1.55555555555556,0.518518518518518,0.320750149549792,0.618589574131742,0.259259259259259,0.999999940987887,1,NA,"GO:0097352",93,"FALSE"
"27","control","1","autophagy of mitochondrion",-0.268337499919872,1.88888888888889,0.62962962962963,0.128300059819917,0.203770683243397,0.814814814814815,0.999976401628132,1,NA,"GO:0000422",63,"FALSE"
"28","control","1","axon extension",-0.225006944310897,2.44444444444444,0.814814814814815,0.27962349760262,0.343174292512307,0.925925925925926,0.99941091259446,1,NA,"GO:0048675",81,"FALSE"
"29","control","1","basement membrane organization",0.148148148148148,0.444444444444444,0.148148148148148,0.0641500299099584,0.433012701892219,0,0.999999999933515,1,NA,"GO:0071711",129,"FALSE"
"30","control","1","biological process involved in interaction with host",-0.303253589238503,3.77777777777778,1.25925925925926,0.0641500299099583,0.0509426708108493,1.51851851851852,0.971034024304719,1,NA,"GO:0051701",54,"FALSE"
"31","control","1","body morphogenesis",0.280924537063747,1,0.333333333333333,0.192450089729875,0.577350269189626,0.037037037037037,0.999486583625453,1,NA,"GO:0010171",57,"FALSE"
"32","control","1","bone development",-0.242430326678573,4.66666666666667,1.55555555555556,0.222222222222222,0.142857142857143,1.74074074074074,0.969821142242361,1,NA,"GO:0060348",71,"FALSE"
"33","control","1","branched-chain amino acid metabolic process",0.24388750002671,0.777777777777778,0.259259259259259,0.231296222162904,0.892142571199771,0,0.999729477416425,1,NA,"GO:0009081",71,"FALSE"
"34","control","1","carbohydrate derivative catabolic process",-0.185185185185185,3.44444444444444,1.14814814814815,0.756317698394894,0.658728317956843,1.18518518518519,0.99978688267989,1,NA,"GO:1901136",99,"FALSE"
"35","control","1","carbohydrate derivative transport",-0.0524087962695868,1.44444444444444,0.481481481481481,0.0641500299099585,0.133234677505298,0.518518518518518,0.999999709788409,1,NA,"GO:1901264",306,"FALSE"
"36","control","1","cell cycle G1/S phase transition",-0.0858074122157625,6.44444444444444,2.14814814814815,0.525090625139179,0.244438739288928,2.03703703703704,0.993316024920641,1,NA,"GO:0044843",220,"FALSE"
"37","control","1","cell cycle G2/M phase transition",-0.247999770855923,3.77777777777778,1.25925925925926,0.891200697445627,0.707718200912704,1.33333333333333,0.941798768740523,1,NA,"GO:0044839",71,"FALSE"
"38","control","1","cell cycle checkpoint signaling",-0.304581137979042,5.11111111111111,1.7037037037037,0.33945005147821,0.199242421519819,1.85185185185185,0.738648483867066,1,NA,"GO:0000075",54,"FALSE"
"39","control","1","cell growth",-0.222888166791876,10.7777777777778,3.59259259259259,1.11296142231976,0.309793385594159,3.7037037037037,0.44114835443415,1,NA,"GO:0016049",81,"FALSE"
"40","control","1","cell migration involved in heart development",0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111,1,0,0.999999992617706,1,NA,"GO:0060973",163,"FALSE"
"41","control","1","cell redox homeostasis",0.317961574100784,1,0.333333333333333,0.192450089729875,0.577350269189626,0,0.999882916138482,1,NA,"GO:0045454",49,"FALSE"
"42","control","1","cell-cell signaling by wnt",-0.274455478746644,10.1111111111111,3.37037037037037,0.898100418739418,0.266469355010596,3.77777777777778,0.419735951652103,1,NA,"GO:0198738",61,"FALSE"
"43","control","1","cell-substrate adhesion",-0.298643039296201,7.66666666666667,2.55555555555556,1.30998068028351,0.512601135763113,2.74074074074074,0.329379913038918,1,NA,"GO:0031589",55,"FALSE"
