"","condition","cycle","region","log2fc.mean","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met"
"1","control","1","ATP metabolic process",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.996682147933255,1,NA,"GO:0046034",47,"FALSE"
"2","control","1","COPII vesicle coating",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0048208",747,"FALSE"
"3","control","1","DNA conformation change",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.941413356860985,1,NA,"GO:0071103",81,"FALSE"
"4","control","1","DNA replication",-0.0461152776976489,0.598826974643378,2,0.666666666666667,0.333333333333333,0.5,2,0.666666666666667,0.972163992295103,1,NA,"GO:0006260",347,"FALSE"
"5","control","1","DNA-templated transcription elongation",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.989877401500129,1,NA,"GO:0006354",81,"FALSE"
"6","control","1","G0 to G1 transition",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045023",747,"FALSE"
"7","control","1","GPI anchor biosynthetic process",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.617774960252086,1,NA,"GO:0006506",81,"FALSE"
"8","control","1","Golgi organization",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.989315134769635,1,NA,"GO:0007030",81,"FALSE"
"9","control","1","Golgi to plasma membrane protein transport",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.981847085299642,1,NA,"GO:0043001",163,"FALSE"
"10","control","1","Golgi vesicle transport",-0.0922305553952987,0.0798740039774766,2.33333333333333,0.777777777777778,0.384900179459751,0.494871659305394,2.33333333333333,0.777777777777778,0.989713523756739,1,NA,"GO:0048193",193,"FALSE"
"11","control","1","NADP metabolic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.980315719395914,1,NA,"GO:0006739",163,"FALSE"
"12","control","1","NADPH regeneration",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0006740",747,"FALSE"
"13","control","1","RNA localization",0.176106944524573,0.451831914366897,1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.111111111111111,0.975542538903521,1,NA,"GO:0006403",105,"FALSE"
"14","control","1","RNA transport",0.398329166746796,0.1125760857524,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,0,0,0.929456891526889,1,NA,"GO:0050658",38,"FALSE"
"15","control","1","Schwann cell differentiation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0014037",747,"FALSE"
"16","control","1","U2-type prespliceosome assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1903241",747,"FALSE"
"17","control","1","UV-damage excision repair",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0070914",747,"FALSE"
"18","control","1","Wnt signaling pathway",-0.268337499919872,0.7662307004778,2.66666666666667,0.888888888888889,1.01835015443463,1.14564392373896,3,1,0.945637064480503,1,NA,"GO:0016055",63,"FALSE"
"19","control","1","actin filament organization",-0.20334166650641,0.112576085752399,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,3,1,0.994780039191209,1,NA,"GO:0007015",85,"FALSE"
"20","control","1","alcohol biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999062435133848,1,NA,"GO:0046165",163,"FALSE"
"21","control","1","amino sugar biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046349",747,"FALSE"
"22","control","1","aminoglycan biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.988831051806991,1,NA,"GO:0006023",163,"FALSE"
"23","control","1","apoptotic mitochondrial changes",0.398329166746796,0.43448857247102,1.33333333333333,0.444444444444444,0.509175077217316,1.14564392373896,0,0,0.57460108676721,1,NA,"GO:0008637",38,"FALSE"
"24","control","1","appendage development",0.287218055635684,0.49747626521215,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.762029473523596,1,NA,"GO:0048736",57,"FALSE"
"25","control","1","aromatic compound catabolic process",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.99756429416599,1,NA,"GO:0019439",63,"FALSE"
"26","control","1","autophagosome maturation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.991151924091813,1,NA,"GO:0097352",163,"FALSE"
"27","control","1","autophagy of mitochondrion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0000422",747,"FALSE"
"28","control","1","axon extension",0.333333333333333,0,1,0.333333333333333,0,0,0,0,0.974166807043283,1,NA,"GO:0048675",47,"FALSE"
"29","control","1","basement membrane organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071711",747,"FALSE"
"30","control","1","biological process involved in interaction with host",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.992557933329476,1,NA,"GO:0051701",47,"FALSE"
"31","control","1","body morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0010171",747,"FALSE"
