"","condition","cycle","region","log2fc.mean.x","log2fc.sd","obs.mut.sum","obs.mut.mean","obs.mut.sd","obs.mut.cv","sim.mut.sum","sim.mut.mean","p_value","p_adjusted","significant_p_adjusted","go.id","observed.variant.required","observed.variant.requirement.met","jitter_alpha","log2fc.mean.y","log2fc.norm","log2fc.norm.sd"
"1","control","1","actin filament organization",-0.20334166650641,0.112576085752399,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,3,1,0.994780039191209,1,NA,"GO:0007015",85,"FALSE",0.6,-0.182568128553075,-0.0207735379533348,0.320610000578514
"2","control","1","alcohol biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999062435133848,1,NA,"GO:0046165",163,"FALSE",0.6,-0.410855903866351,0.521967014977462,0.320610000578514
"3","control","1","amino sugar biosynthetic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0046349",747,"FALSE",0.6,0.0740740740740741,-0.0740740740740741,0.320610000578514
"4","control","1","aminoglycan biosynthetic process",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.988831051806991,1,NA,"GO:0006023",163,"FALSE",0.6,0.102032870450499,0.0090782406606123,0.320610000578514
"5","control","1","apoptotic mitochondrial changes",0.398329166746796,0.43448857247102,1.33333333333333,0.444444444444444,0.509175077217316,1.14564392373896,0,0,0.57460108676721,1,NA,"GO:0008637",38,"FALSE",0.6,-0.327039814761396,0.725368981508191,0.320610000578514
"6","control","1","appendage development",0.287218055635684,0.49747626521215,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.762029473523596,1,NA,"GO:0048736",57,"FALSE",0.6,-0.182340163072192,0.469558218707876,0.320610000578514
"7","control","1","aromatic compound catabolic process",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.99756429416599,1,NA,"GO:0019439",63,"FALSE",0.6,-0.167268884032213,-0.101068615887659,0.320610000578514
"8","control","1","ATP metabolic process",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.996682147933255,1,NA,"GO:0046034",47,"FALSE",0.6,-0.223787780931628,0.557121114264962,0.320610000578514
"9","control","1","autophagosome maturation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.991151924091813,1,NA,"GO:0097352",163,"FALSE",0.6,0.191478703757123,-0.0803675926460117,0.320610000578514
"10","control","1","autophagy of mitochondrion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0000422",747,"FALSE",0.6,-0.268337499919872,0.268337499919872,0.320610000578514
"11","control","1","axon extension",0.333333333333333,0,1,0.333333333333333,0,0,0,0,0.974166807043283,1,NA,"GO:0048675",47,"FALSE",0.6,-0.225006944310897,0.55834027764423,0.320610000578514
"12","control","1","basement membrane organization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071711",747,"FALSE",0.6,0.148148148148148,-0.148148148148148,0.320610000578514
"13","control","1","biological process involved in interaction with host",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.992557933329476,1,NA,"GO:0051701",47,"FALSE",0.6,-0.303253589238503,0.636586922571837,0.320610000578514
"14","control","1","body morphogenesis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0010171",747,"FALSE",0.6,0.280924537063747,-0.280924537063747,0.320610000578514
"15","control","1","bone development",0.333333333333333,0.333333333333333,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,0.333333333333333,0.111111111111111,0.978452516083852,1,NA,"GO:0060348",47,"FALSE",0.6,-0.242430326678573,0.575763660011906,0.320610000578514
"16","control","1","branched-chain amino acid metabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0009081",747,"FALSE",0.6,0.24388750002671,-0.24388750002671,0.320610000578514
"17","control","1","carbohydrate derivative catabolic process",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901136",747,"FALSE",0.6,-0.185185185185185,0.185185185185185,0.320610000578514
"18","control","1","carbohydrate derivative transport",0,0,0,0,0,NA,0,0,1,1,NA,"GO:1901264",747,"FALSE",0.6,-0.0524087962695868,0.0524087962695868,0.320610000578514
"19","control","1","cell cycle checkpoint signaling",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.992229166140475,1,NA,"GO:0000075",81,"FALSE",0.6,-0.304581137979042,0.526803360201264,0.320610000578514
"20","control","1","cell cycle G1/S phase transition",0.222222222222222,0.384900179459751,2,0.666666666666667,0.333333333333333,0.5,1.33333333333333,0.444444444444444,0.984202741865909,1,NA,"GO:0044843",81,"FALSE",0.6,-0.0858074122157625,0.308029634437985,0.320610000578514
"21","control","1","cell cycle G2/M phase transition",0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,1,0,0,0.969511785430955,1,NA,"GO:0044839",47,"FALSE",0.6,-0.247999770855923,0.581333104189256,0.320610000578514
"22","control","1","cell growth",0.0254242989439862,0.141829094725117,4.33333333333333,1.44444444444444,0.384900179459751,0.266469355010597,3,1,0.233409631838209,1,NA,"GO:0016049",451,"FALSE",0.6,-0.222888166791876,0.248312465735862,0.320610000578514
"23","control","1","cell migration involved in heart development",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0060973",747,"FALSE",0.6,0.111111111111111,-0.111111111111111,0.320610000578514
"24","control","1","cell redox homeostasis",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0045454",747,"FALSE",0.6,0.317961574100784,-0.317961574100784,0.320610000578514
"25","control","1","cell-cell signaling by wnt",-0.0461152776976493,0.267162291360244,3,1,0.333333333333333,0.333333333333333,3,1,0.999953771487457,1,NA,"GO:0198738",347,"FALSE",0.6,-0.274455478746644,0.228340201048995,0.320610000578514
"26","control","1","cell-substrate adhesion",-0.222222222222222,0.509175077217316,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,2,0.666666666666667,0.997725785666893,1,NA,"GO:0031589",81,"FALSE",0.6,-0.298643039296201,0.0764208170739791,0.320610000578514
"27","control","1","cell-substrate junction assembly",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999325221009491,1,NA,"GO:0007044",163,"FALSE",0.6,-0.17259814804131,0.283709259152421,0.320610000578514
"28","control","1","cell-substrate junction organization",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.992863419187514,1,NA,"GO:0150115",81,"FALSE",0.6,-0.345860070452889,0.568082292675112,0.320610000578514
"29","control","1","cellular carbohydrate metabolic process",0.111111111111111,0.384900179459751,1.33333333333333,0.444444444444444,0.192450089729875,0.433012701892219,1,0.333333333333333,0.999621663224384,1,NA,"GO:0044262",163,"FALSE",0.6,-0.350934425645558,0.462045536756669,0.320610000578514
"30","control","1","cellular component disassembly",-0.0922305553952987,0.598826974643377,3.33333333333333,1.11111111111111,0.838870492807861,0.754983443527075,3,1,0.979275468298877,1,NA,"GO:0022411",193,"FALSE",0.6,-0.215978959186619,0.123748403791321,0.320610000578514
"31","control","1","cellular lipid catabolic process",0.287218055635684,0.49747626521215,1,0.333333333333333,0.577350269189626,1.73205080756888,0,0,0.902497668782265,1,NA,"GO:0044242",57,"FALSE",0.6,-0.220765048874086,0.50798310450977,0.320610000578514
"32","control","1","cellular metabolic compound salvage",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043094",747,"FALSE",0.6,0.444444444444444,-0.444444444444444,0.320610000578514
"33","control","1","cellular nitrogen compound catabolic process",0.194987500240385,0.333333333333333,4.33333333333333,1.44444444444444,0.509175077217316,0.352505822688911,3,1,0.995682489371611,1,NA,"GO:0044270",93,"FALSE",0.6,-0.276436757369467,0.471424257609853,0.320610000578514
"34","control","1","cellular pigment accumulation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0043482",747,"FALSE",0.6,0.037037037037037,-0.037037037037037,0.320610000578514
"35","control","1","cellular pigmentation",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0033059",747,"FALSE",0.6,0.278139814975072,-0.278139814975072,0.320610000578514
"36","control","1","cellular respiration",1.8521787113294e-17,0.881917103688197,1.66666666666667,0.555555555555556,0.509175077217316,0.916515138991168,1.66666666666667,0.555555555555556,0.940056120503716,1,NA,"GO:0045333",632,"FALSE",0.6,-0.316504400752647,0.316504400752647,0.320610000578514
"37","control","1","cellular response to acid chemical",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.988881185264691,1,NA,"GO:0071229",81,"FALSE",0.6,-0.0621508113004681,0.28437303352269,0.320610000578514
"38","control","1","cellular response to arsenic-containing substance",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.93620818464392,1,NA,"GO:0071243",163,"FALSE",0.6,0.24388750002671,-0.132776388915599,0.320610000578514
"39","control","1","cellular response to chemical stress",-0.0461152776976493,0.911193125515563,2.33333333333333,0.777777777777778,0.509175077217316,0.654653670707977,2,0.666666666666667,0.566398273119264,1,NA,"GO:0062197",347,"FALSE",0.6,-0.387259602975376,0.341144325277727,0.320610000578514
"40","control","1","cellular response to dsRNA",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.97621040003656,1,NA,"GO:0071359",163,"FALSE",0.6,0.265552777831197,-0.154441666720086,0.320610000578514
"41","control","1","cellular response to external stimulus",-0.222222222222222,0.192450089729875,2,0.666666666666667,0.577350269189626,0.866025403784439,2,0.666666666666667,0.940103325101621,1,NA,"GO:0071496",81,"FALSE",0.6,-0.25429328942786,0.032071067205638,0.320610000578514
"42","control","1","cellular response to extracellular stimulus",0.509440277857907,0.776196653939741,2.66666666666667,0.888888888888889,0.509175077217316,0.57282196186948,0.666666666666667,0.222222222222222,0.490362313908405,1,NA,"GO:0031668",26,"FALSE",0.6,-0.491947570906951,1.00138784876486,0.320610000578514
"43","control","1","cellular response to fluid shear stress",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071498",747,"FALSE",0.6,0.0740740740740741,-0.0740740740740741,0.320610000578514
"44","control","1","cellular response to heat",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.993920938305819,1,NA,"GO:0034605",163,"FALSE",0.6,0.206850462989673,-0.0957393518785615,0.320610000578514
"45","control","1","cellular response to insulin stimulus",0.620551388969018,0.0798740039774757,2,0.666666666666667,0,0,0,0,0.89225649466714,1,NA,"GO:0032869",21,"FALSE",0.6,-0.210585054754434,0.831136443723452,0.320610000578514
"46","control","1","cellular response to ketone",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.997593016155145,1,NA,"GO:1901655",163,"FALSE",0.6,-0.141854629576211,0.252965740687322,0.320610000578514
"47","control","1","cellular response to oxygen levels",0.222222222222222,0.384900179459751,0.666666666666667,0.222222222222222,0.384900179459751,1.73205080756888,0,0,0.989988057425739,1,NA,"GO:0071453",81,"FALSE",0.6,-0.108266088998118,0.33048831122034,0.320610000578514
"48","control","1","cellular response to sterol depletion",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0071501",747,"FALSE",0.6,0.148148148148148,-0.148148148148148,0.320610000578514
"49","control","1","cellular response to topologically incorrect protein",0.222222222222222,0.192450089729875,0.666666666666667,0.222222222222222,0.192450089729875,0.866025403784439,0,0,0.995914344779196,1,NA,"GO:0035967",81,"FALSE",0.6,-0.283709259152422,0.505931481374644,0.320610000578514
"50","control","1","cellular response to transforming growth factor beta stimulus",0.287218055635684,0.541846760760898,1.66666666666667,0.555555555555556,0.192450089729875,0.346410161513775,0.666666666666667,0.222222222222222,0.873053059252502,1,NA,"GO:0071560",57,"FALSE",0.6,-0.273234145167991,0.560452200803676,0.320610000578514
"51","control","1","cellular response to UV",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.997352587400794,1,NA,"GO:0034644",163,"FALSE",0.6,-0.336118055422008,0.447229166533119,0.320610000578514
"52","control","1","cellular senescence",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0090398",747,"FALSE",0.6,-0.246672222115384,0.246672222115384,0.320610000578514
"53","control","1","centromere complex assembly",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0034508",747,"FALSE",0.6,0.037037037037037,-0.037037037037037,0.320610000578514
"54","control","1","centrosome localization",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0051642",747,"FALSE",0.6,0.296296296296296,-0.296296296296296,0.320610000578514
"55","control","1","chaperone-mediated autophagy",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0061684",747,"FALSE",0.6,0.111111111111111,-0.111111111111111,0.320610000578514
"56","control","1","chondrocyte differentiation",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.99893063320337,1,NA,"GO:0002062",163,"FALSE",0.6,-0.231300462882835,0.342411573993946,0.320610000578514
"57","control","1","chromatin remodeling",-0.0461152776976493,0.342769554690181,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,2.33333333333333,0.777777777777778,0.978288948935003,1,NA,"GO:0006338",347,"FALSE",0.6,-0.195355134816852,0.149239857119203,0.320610000578514
"58","control","1","chromosome localization",0.111111111111111,0.192450089729875,0.333333333333333,0.111111111111111,0.192450089729875,1.73205080756888,0,0,0.999385825810986,1,NA,"GO:0050000",163,"FALSE",0.6,-0.20334166650641,0.314452777617521,0.320610000578514
"59","control","1","chromosome segregation",-0.268337499919872,0.112576085752399,2.33333333333333,0.777777777777778,0.192450089729875,0.247435829652697,3,1,0.997616408847218,1,NA,"GO:0007059",63,"FALSE",0.6,-0.0604355390074949,-0.207901960912377,0.320610000578514
"60","control","1","cilium assembly",0.0649958334134618,0.434488572471019,2.66666666666667,0.888888888888889,0.192450089729875,0.21650635094611,2.33333333333333,0.777777777777778,0.999408408557687,1,NA,"GO:0060271",265,"FALSE",0.6,-0.224330955253259,0.289326788666721,0.320610000578514
"61","control","1","cilium organization",0.129991666826924,0.464774183437227,3.33333333333333,1.11111111111111,0.192450089729875,0.173205080756888,2.33333333333333,0.777777777777778,0.822893100882376,1,NA,"GO:0044782",156,"FALSE",0.6,-0.575893284619505,0.705884951446428,0.320610000578514
"62","control","1","circadian regulation of gene expression",0,0,0,0,0,NA,0,0,1,1,NA,"GO:0032922",747,"FALSE",0.6,0.0803675926460116,-0.0803675926460116,0.320610000578514
