"","condition","cycle","region","mean","sd","observed.variant.requirement.met"
"1","control",1,"haplosufficient",-0.153143872879099,0.361604654115281,"FALSE"
"2","control",1,"haploinsufficient",-0.769142841730748,0.554113942103593,"FALSE"
"3","control",9,"haplosufficient",-0.436846410328546,0.222243431633881,"FALSE"
"4","control",9,"haploinsufficient",-0.726103468842253,0.695338570562874,"FALSE"
"5","enu",3,"haplosufficient",-0.141339661135457,0.16674534652331,"FALSE"
"6","enu",3,"haploinsufficient",-0.317476461404229,0.213571431595509,"TRUE"
"7","enu",6,"haplosufficient",-0.168509196485391,0.0553217796719289,"TRUE"
"8","enu",6,"haploinsufficient",-0.294612925061722,0.0749052014212957,"TRUE"
"9","enu",9,"haplosufficient",-0.288224548431987,0.044670850960302,"TRUE"
"10","enu",9,"haploinsufficient",-0.371179382558184,0.157461322232248,"TRUE"
