"gene_name","n_syn","n_mis","n_non","n_spl","wmis_cv","wnon_cv","wspl_cv","pmis_cv","ptrunc_cv","pallsubs_cv","qmis_cv","qtrunc_cv","qallsubs_cv","list_name"
"JUN",0,1,0,0,489.567552373824,0,0,0.00128102497645677,0.990872526469683,0.00560048844061756,0.987826306751159,0.997661938299348,0.999976125298516,"enu_3"
"LCP1",0,1,0,0,241.757710090999,0,0,0.00275536135843313,0.977118456974006,0.0113129471101959,0.987826306751159,0.997661938299348,0.999976125298516,"enu_3"
"MUC16",0,2,0,0,19.0450010889491,0,0,0.00488770685760775,0.906873881560081,0.0189228309971025,0.987826306751159,0.997661938299348,0.999976125298516,"enu_3"
"CEP89",1,0,0,0,0,0,0,0.920700755825315,0.970449350605536,0.994374592921436,0.987826306751159,0.997661938299348,0.999976125298516,"enu_3"
"COL1A1",0,0,1,0,0,351.015510377688,351.015510377688,0.837427061967113,0.00183229309359423,0.00762285004778962,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"PHOX2B",0,1,0,0,229.2372691936,0,0,0.00291276690734565,0.979356860395718,0.0119025688845411,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"FCGR2B",0,1,0,0,194.309819168736,0,0,0.00348896837340018,0.974221583901478,0.0140282041090289,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"SRC",0,1,0,0,111.502275724882,0,0,0.00641715376251029,0.963062521789445,0.0243378331774456,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"HIF1A",0,1,0,0,70.938224965491,0,0,0.01057588582308,0.954181657528338,0.0380333851525292,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"CDH11",0,1,0,0,69.9349983834557,0,0,0.0107441593362714,0.960463066158427,0.0385875985918736,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"THRAP3",0,1,0,0,66.2852964428969,0,0,0.0114020473627191,0.959360948628348,0.040676794233096,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"MLLT6",1,1,0,0,62.0155084750782,0,0,0.012274529723918,0.954158492137842,0.0434098773878921,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"TRIM24",0,1,0,0,59.691448640815,0,0,0.0128083833618285,0.949868241642368,0.0450626074848245,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"FANCA",0,1,0,0,43.7287190716915,0,0,0.0181102324695332,0.93613629856942,0.0610543232318927,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"PTPRT",0,1,0,0,39.8015765571752,0,0,0.0201154673356593,0.940742739507684,0.0669551660226152,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"PTPRD",0,1,0,0,31.4847132988187,0,0,0.0261430617963447,0.932537302474166,0.0840025168363649,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"POLR2A",0,1,0,0,28.9311978342402,0,0,0.0287408670489421,0.937844794638618,0.0912068883281638,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"CREBBP",0,1,0,0,25.5549714630271,0,0,0.0330309354592523,0.930773930551635,0.102702070312792,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"MTOR",0,1,0,0,23.1589632982182,0,0,0.0368895159047493,0.919830155680804,0.112714104868964,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"MUC16",0,1,0,0,3.84163118267046,0,0,0.272703922213896,0.870568474461394,0.540646545783941,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
"TSHR",1,0,0,0,0,0,0,0.872383949931981,0.960488882175701,0.98597131164613,0.976826068300604,0.995069531940031,0.999943356323386,"enu_6"
