"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"A1BG","19",8,58858387,58864803,1488,1.23e-05,2.31e-05,1e-06,87,170,8,104.7287433,199.8078089,12.30138237,1.073973412,1.031430951,1.214844886,9.06e-05,0.786086131,0.21382322,"ENSG00000121410",1
"A1CF","10",11,52566488,52610547,1785,6.4e-06,1.54e-05,1.9e-06,86,168,9,76.69884028,178.5859546,25.9365837,-0.658403708,0.387458006,3.294270115,0.003619701,0.995993655,0.000386644,"ENSG00000148584",29974
"A2M","12",36,9220418,9268445,4425,1.76e-05,4.05e-05,3.98e-06,187,393,16,187.6026966,414.5167091,51.70609153,0.027279165,0.516917311,4.918822279,0.000540115,0.999459802,8.32e-08,"ENSG00000175899",2
"A2ML1","12",35,8975247,9027607,4365,1.79e-05,4.02e-05,3.71e-06,226,502,42,216.0756618,467.040246,56.06459883,-0.418549076,-0.791240083,1.860684292,1.33e-22,0.201298945,0.798701055,"ENSG00000166535",144568
"A3GALT2","1",5,33772366,33786699,1023,1.01e-05,1.87e-05,7.35e-07,49,104,9,83.27799487,153.7933213,8.016676653,2.328625949,1.963896714,-0.344024136,6.5e-07,0.145666834,0.854332516,"ENSG00000184389",127550
"AAAS","12",16,53701272,53715249,1641,6.51e-06,1.68e-05,1.97e-06,78,220,19,77.66632624,189.5580272,28.1505005,-0.02347201,-1.081480196,1.708407606,4.54e-10,0.792914349,0.207085651,"ENSG00000094914",8086
"AACS","12",18,125550130,125626775,2019,1.22e-05,2.38e-05,1.61e-06,116,267,20,133.8993714,251.5009802,24.15506709,0.958955772,-0.478024626,0.837459118,4.25e-12,0.171790101,0.828209899,"ENSG00000081760",65985
"AADAC","3",5,151531950,151545960,1200,4.31e-06,1.03e-05,7.2e-07,58,129,7,50.23141596,117.4433346,10.05097976,-0.679521804,-0.521598364,0.953289534,0.000181834,0.703259061,0.296559105,"ENSG00000114771",13
"AADACL2","3",5,151451823,151475382,1206,3.91e-06,1.04e-05,1.13e-06,64,136,13,45.60182588,118.1896391,14.80478036,-1.689012877,-0.80130991,0.464636234,1.78e-08,0.230782216,0.769217767,"ENSG00000197953",344752
"AADACL3","1",3,12779479,12785963,1053,4.52e-06,1.04e-05,4.65e-07,57,127,6,52.433433,119.1125771,6.52232633,-0.390962809,-0.353485401,0.202595761,0.000156334,0.434956525,0.564887141,"ENSG00000188984",126767
"AADACL4","1",4,12704565,12726746,1224,5.37e-06,1.3e-05,6.11e-07,54,198,6,62.509586,148.6989758,8.59863385,0.667244088,-1.97750787,0.877849457,0.000547686,0.700937101,0.298515212,"ENSG00000204518",343066
"AAGAB","15",10,67495158,67546969,948,3.35e-06,7.88e-06,1.04e-06,48,124,6,39.01619746,87.26575026,14.91205607,-0.891634967,-1.923382781,2.286119014,0.008102073,0.977864168,0.014033759,"ENSG00000103591",79719
