"Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","ENU_A","CTL_A","C1E_A","ENU_B","CTL_B","C1E_B","ENU_C","CTL_C","C1E_C"
"ENSG00000000003.15","ENSG00000000003","TSPAN6",7105,"protein_coding","X",100627108,100639991,40.4,620.662955077599,586.995467671949,941.106575005251,609.114367220725,547.374308041756,552.426453678279,513.116017095577,566.900030847162,465.207469004924
"ENSG00000000419.14","ENSG00000000419","DPM1",8813,"protein_coding","20",50934867,50959140,40.2,470.679569076529,531.841531112168,483.568591199507,512.816286307735,585.180941930526,470.363103675346,623.231622534229,671.913138970958,487.517596292904
"ENSG00000000457.14","ENSG00000000457","SCYL3",57147,"protein_coding","1",169849631,169894267,40.14,207.294110733186,185.159644164977,213.25074518736,184.474636929705,220.264736569355,213.164555495423,194.121325051645,197.21973964713,141.297472823876
"ENSG00000000460.17","ENSG00000000460","FIRRM",55732,"protein_coding","1",169662007,169854080,39.22,79.2595129273948,71.8970958725709,137.161277420978,58.0108921162596,81.3664511953962,109.08420915024,70.3831704865614,113.550759190772,185.917727399836
"ENSG00000000971.17","ENSG00000000971","CFH",3075,"protein_coding","1",196651754,196752476,35.08,509.699636979246,422.518549716889,736.866424684963,646.241338175132,508.745790807578,448.346107333096,535.820265639629,881.085590111854,254.500711285109
"ENSG00000001036.14","ENSG00000001036","FUCA2",2519,"protein_coding","6",143494812,143511720,39.72,2055.86982762442,1935.31223821372,1386.63043232157,2435.29725104058,1999.64217937777,1528.17970066437,3036.69324276696,3244.30740545062,1988.08023166225
"ENSG00000001084.13","ENSG00000001084","GCLC",2729,"protein_coding","6",53497341,53616970,40.16,1861.9888652328,1804.32163888425,2657.12430857866,1961.9283713719,1751.43340906454,2793.15621778275,1979.81047304134,2117.33746460988,1221.27289376426
"ENSG00000001167.15","ENSG00000001167","NFYA",4800,"protein_coding","6",41072974,41102403,40.69,464.582683466729,606.693302157585,696.819336386867,513.97650415006,507.92390746217,678.523796365712,476.789219425094,546.409668286421,636.251778212774
"ENSG00000001460.18","ENSG00000001460","STPG1",90529,"protein_coding","1",24356999,24416934,44.09,245.094801513944,219.63085451484,146.17187228805,298.175985477574,276.97468740251,188.145241470138,111.250817865855,127.211000897932,245.411400167784
"ENSG00000001461.17","ENSG00000001461","NIPAL3",57185,"protein_coding","1",24415802,24472976,44.99,4893.36039042516,4348.29696270412,2212.60162846979,5667.66415975856,5218.95924334107,2854.20334400444,2973.12134684362,2954.02726917346,2866.43820600015
"ENSG00000001497.18","ENSG00000001497","LAS1L",81887,"protein_coding","X",65438549,65534810,42.78,323.134937319379,269.860332453211,344.404959363624,320.220124481753,274.509037366286,278.214771961162,525.603353794805,509.697768698427,555.274279167512
"ENSG00000001617.12","ENSG00000001617","SEMA3F",6405,"protein_coding","3",50155045,50189075,57.74,666.999285712076,731.774551141373,1417.66692575259,580.108921162596,752.023261048359,1456.12407627155,853.679745256358,827.298388389909,925.457131945853
