"Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","ENU_A","CTL_A","ENU_B","CTL_B","ENU_C","CTL_C"
"ENSG00000000003.15","ENSG00000000003","TSPAN6",7105,"protein_coding","X",100627108,100639991,40.4,603.764508217459,572.062168702508,593.224365582554,534.276297813637,498.288235225514,552.796289586871
"ENSG00000000419.14","ENSG00000000419","DPM1",8813,"protein_coding","20",50934867,50959140,40.2,457.864636880038,518.311360904957,499.438418261883,571.178264329293,605.221772430989,655.196807085644
"ENSG00000000457.14","ENSG00000000457","SCYL3",57147,"protein_coding","1",169849631,169894267,40.14,201.650228677737,180.449140463207,179.662236433573,214.994065786869,188.511699609652,192.31316700989
"ENSG00000000460.17","ENSG00000000460","FIRRM",55732,"protein_coding","1",169662007,169854080,39.22,77.1015580238406,70.0680173075219,56.4975586269099,79.419449675,68.3492712034997,110.725762823876
"ENSG00000000971.17","ENSG00000000971","CFH",3075,"protein_coding","1",196651754,196752476,35.08,495.822326984082,411.769581163382,629.382803103776,496.572114634596,520.336387226643,859.16531755068
"ENSG00000001036.14","ENSG00000001036","FUCA2",2519,"protein_coding","6",143494812,143511720,39.72,1999.89579735685,1886.07745218193,2371.76751115768,1951.79314201288,2948.940330151,3163.59322353932
"ENSG00000001084.13","ENSG00000001084","GCLC",2729,"protein_coding","6",53497341,53616970,40.16,1811.29352465238,1758.41928366274,1910.74743276209,1709.52370967096,1922.59885449844,2064.66084062566
"ENSG00000001167.15","ENSG00000001167","NFYA",4800,"protein_coding","6",41072974,41102403,40.69,451.933747801281,591.258885773062,500.568369434422,495.769897971212,463.011192023708,532.815700806623
"ENSG00000001460.18","ENSG00000001460","STPG1",90529,"protein_coding","1",24356999,24416934,44.09,238.42174096603,214.043395336677,290.397451342317,270.347015560354,108.035944805532,124.046155344042
"ENSG00000001461.17","ENSG00000001461","NIPAL3",57185,"protein_coding","1",24415802,24472976,44.99,4760.13157461034,4237.67529332479,5519.8114778491,5094.07581248738,2887.20550454783,2880.53488248581
"ENSG00000001497.18","ENSG00000001497","LAS1L",81887,"protein_coding","X",65438549,65534810,42.78,314.337121174119,262.995023866589,311.866523620543,267.940365570202,510.414718826135,497.017145908678
"ENSG00000001617.12","ENSG00000001617","SEMA3F",6405,"protein_coding","3",50155045,50189075,57.74,648.839265216012,713.158039171079,564.975586269099,734.028246996212,829.010515242448,806.716272002528
"ENSG00000001626.18","ENSG00000001626","CFTR",1080,"protein_coding","7",117287120,117715971,36.9,77.1015580238406,57.5901512116619,47.4579492466043,43.3196998227273,46.3011192023708,74.094683393421
"ENSG00000001629.10","ENSG00000001629","ANKIB1",54467,"protein_coding","7",92245974,92401383,36.83,1736.56432226004,1804.49140463207,1919.7870421424,1791.34980933611,1210.44354486198,1283.75282913096
"ENSG00000001630.18","ENSG00000001630","CYP51A1",1595,"protein_coding","7",92084987,92134803,38.33,1123.31039151657,1404.23985371102,1496.05535244057,1500.94737719116,1272.17837046514,1518.52474729888
"ENSG00000001631.17","ENSG00000001631","KRIT1",889,"protein_coding","7",92197498,92246166,36.51,566.992995929166,571.10233284898,710.739287526526,648.993280677525,501.595458025683,596.08756527741
"ENSG00000002016.18","ENSG00000002016","RAD52",5893,"protein_coding","12",911736,990053,45.19,104.383647786123,71.9876890145773,96.0458496657468,87.4416163088384,89.2950156045722,101.567992966263
