"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"AAK1","2",21,69703000,69870172,2886,1.17e-05,2.66e-05,2.48e-06,117,205,2,112.9984382,252.5797275,29.59185816,-0.233371035,1.464329937,5.024403614,0.999320421,0.000679579,1.69e-10,"ENSG00000115977",22848
"ABCA2","9",49,139902380,139922592,7311,5.68e-05,0.000108231,5.41e-06,615,660,6,531.7140306,1008.509583,66.60689819,-2.239146398,5.36774103,7.356176401,0.999999516,4.84e-07,6.11e-21,"ENSG00000107331",20
"ABCB7","X",16,74273204,74376107,2262,8.72e-06,2.09e-05,2.02e-06,63,84,1,66.06202285,152.5649188,19.86067181,0.233550883,2.715132267,4.19227586,0.995047823,0.004952071,1.06e-07,"ENSG00000131269",22
"ABCD1","X",10,152990721,153009189,2238,1.58e-05,3.37e-05,1.35e-06,100,144,0,102.597136,216.4489046,11.98518909,0.15895368,2.408632484,3.429352708,0.982118838,0.017868998,1.22e-05,"ENSG00000101986",215
"ABCD3","1",23,94884034,94982685,1980,7.3e-06,1.95e-05,2.91e-06,89,145,4,85.66690395,218.079779,40.55913434,-0.223249924,2.42050544,5.686450429,0.999695623,0.000304377,9.78e-13,"ENSG00000117528",5825
"ABCE1","4",17,146025564,146048725,1800,5.8e-06,1.58e-05,2.17e-06,65,62,0,70.66329412,180.3585941,30.57395219,0.4176585,4.310700639,5.477286629,0.999982597,1.74e-05,5.48e-13,"ENSG00000164163",6059
"ABCF2","7",15,150905156,150923544,1905,7.75e-06,1.93e-05,2.04e-06,104,137,3,91.31838748,218.7211157,28.88771504,-0.822706021,2.702746554,4.771191549,0.995417497,0.004582499,3.59e-09,"ENSG00000033050",10061
"ABHD16A","6",20,31654988,31671058,1677,7.72e-06,2e-05,2.15e-06,79,136,4,88.66855947,218.6004935,30.90973572,0.636541049,2.73258431,4.794589845,0.988882578,0.011117416,6.36e-09,"ENSG00000204427",7920
"ABHD17B","9",4,74477496,74489996,882,3.03e-06,8.2e-06,7.38e-07,51,49,0,35.80163392,94.15492235,9.877973101,-1.574689961,2.276145733,3.113318915,0.961448199,0.038470604,8.12e-05,"ENSG00000107362",51104
"ABI2","2",10,204193237,204292075,1428,5.34e-06,1.44e-05,1.29e-06,55,98,2,61.90931481,160.7998105,18.15763205,0.544385018,2.422322401,3.756106307,0.953329216,0.046665398,5.39e-06,"ENSG00000138443",10152
"ABL1","9",11,133589706,133761070,3450,2.03e-05,4.11e-05,2.25e-06,213,350,1,233.4429751,467.6754199,29.881222,0.829475636,2.661520825,5.233667132,0.999882701,0.000117299,1.16e-11,"ENSG00000097007",25
"ABLIM1","10",23,116196018,116417959,2337,1.06e-05,2.62e-05,2.38e-06,129,242,6,127.3427217,302.7725018,35.71536947,-0.091046564,1.708304959,4.925419932,0.951991965,0.048008025,9.69e-09,"ENSG00000099204",3983
